abandon	v::离弃；放弃	with abandon::恣意地，放纵地¦abandon ship::弃船
academic	adj::学术的；学校的	academic research::学术研究¦academic circles::学术界¦academic year::学年¦academic achievement::学业成就；学业成绩¦academic performance::学习成绩；学业表现；学术成就¦academic study::学术研究¦academic exchange::学术交流¦academic problem::学术问题¦academic background::学术背景；学历；教育背景¦academic world::学术界¦academic freedom::n. 学术自由¦academic community::学术界；学术社群；高等教育界；高等学校的全体师生员工¦academic journal::学报，学术期刊¦academic degree::学位¦academic atmosphere::n. 学业风气，学习氛围¦academic education::学术教育；文理科教育¦academic work::学术工作；专门著作¦academic writing::论文写作；学术著作¦academic record::学业成绩¦academic discipline::n. 学术科目
accelerate	v::加速，变快	
access	n::通路	access control::访问控制¦have access to::使用；接近；可以利用¦internet access::互联网接入¦easy access::便于检修；容易接近¦market access::市场准入；进入市场；开放市场¦data access::数据存取¦multiple access::[电脑]多路存取；多路访问¦open access::开放存取；开架阅览¦direct access::[计]直接存取¦access network::接入网；接取网络¦broadband access::宽带接入；宽频存取；宽带通信¦network access::网络接入；网络访问¦gain access::获得访问权限¦free access::自由访问；自由存取；自由入口¦remote access::[计]远程访问；远程存取¦get access to::获得；接近；可以使用¦code division multiple access::码分多址联接方式¦random access::随机存取¦public access::公共存取¦database access::数据库存取
accessory	n::同谋者；附件	accessory equipment::辅助设备¦accessory nerve::副神经¦accessory ingredient::助剂；配合剂
air	n::空气	in the air::在空中；悬而未决；在流传中；不设防¦air conditioning::空调；空气调节¦air pollution::大气污染，空气污染¦by air::乘飞机；通过航空途径¦air ticket::机票¦fresh air::新鲜空气¦air force::空军¦air conditioner::n. 空调设备；空气调节机¦air flow::气流；空气流量；空气流向¦air temperature::气温，空气温度¦hot air::吹牛；大话¦air pressure::气压；风压¦air compressor::空气压缩机¦on the air::在广播，广播中¦compressed air::压缩空气¦air transport::航空运输¦air condition::空调，空气调节设备¦on air::（无线电）广播的；送风期¦air defense::n. 防空¦air traffic::空中交通，航空运输；飞航
airing	n::通风；讨论	in the air::在空中；悬而未决；在流传中；不设防¦air conditioning::空调；空气调节¦air pollution::大气污染，空气污染¦by air::乘飞机；通过航空途径¦air ticket::机票¦fresh air::新鲜空气¦air force::空军¦air conditioner::n. 空调设备；空气调节机¦air flow::气流；空气流量；空气流向¦air temperature::气温，空气温度¦hot air::吹牛；大话¦air pressure::气压；风压¦air compressor::空气压缩机¦on the air::在广播，广播中¦compressed air::压缩空气¦air transport::航空运输¦air condition::空调，空气调节设备¦on air::（无线电）广播的；送风期¦air defense::n. 防空¦air traffic::空中交通，航空运输；飞航
aisle	n::通道	down the aisle::[口语] 沿教堂走道而去(至圣坛举行婚礼)¦aisle seat::n. 靠道座位
alarm	n::警报，惊慌¦v::使忧虑	alarm system::报警系统¦fire alarm::火警；火警警报器¦alarm clock::闹钟¦false alarm::假警报；引起一场空喜欢的人¦burglar alarm::防窃报警器；防盗自动警铃¦fire alarm system::火警信号系统；消防警报系统¦alarm bell::警钟；警铃¦anti-theft alarm::防盗警报系统¦false alarm rate::火灾误报率；误警率；虚率¦alarm signal::警报信号¦alarm device::报警装置；告警装置¦gas alarm::气体信号装置；瓦斯报警器；毒气警报¦alarm equipment::报警器，报警信号装置；防盗报警设备¦ring the alarm::拉警报，敲警钟¦burglar alarm system::防盗警钟系统¦automatic fire alarm system::火灾自动报警系统¦alarm circuit::报警电路¦smoke alarm::烟雾报警器¦in alarm::惊慌，担心¦alarm message::报警信息
album	n::集邮册；相片册	photo album::相册；相簿¦debut album::首张专辑；处女专辑¦stamp album::n. 集邮册¦photograph album::相册，影集
alien	n&a::外侨；外国人的；不相容的	alien from::相异的
alienate	v::离间，使疏远	
all	adv::完全地¦pron::全部，全体	all the::◎惟一的，仅有的¦all of::adv. 不少于；实足¦in all::总共，合计¦and all::等等；的确；此外；连…一齐都¦all over::到处，遍及；浑身；全部结束¦all over oneself::◎非常高兴；非常满意¦at all::（否定句）根本；究竟¦after all::毕竟；终究¦above all::首先；尤其是¦all in::疲乏到极点¦first of all::adv. 首先¦all of us::我们所有人（情景喜剧）¦all about::到处，各处；关于…的一切¦all along::自始至终，一直¦all for::完全赞成；急于得到¦for all of::就…来说¦all in all::总而言之；头等重要的东西¦that's all::就这样；说完了¦all out::全力以赴¦over all::全面地；遍及
apparent	adj::明显的，表面上的	apparent viscosity::表观粘度¦apparent density::表观密度；松装密度¦apparent activation energy::表观活化能¦apparent porosity::显气孔率；虚表孔率¦apparent power::视在功率；表观功率¦heir apparent::[律]法定继承人，有确定继承权的人¦apparent area::可视面积，表面面积¦apparent consumption::表面消费（量）¦apparent diffusion coefficient::表观扩散系数¦apparent velocity::视速度；表观速度¦apparent motion::视运动；表观运动；虚表运动¦apparent size::表观细度；形式大小；表观尺寸，视尺寸¦apparent rate::表面费率；名义费率¦apparent brightness::视亮度；表观亮度
appeal	vi&n::呼吁，上诉；吸引(力)	appeal for::vt. 恳求，请求；要求¦sex appeal::性感；吸引力¦appeal against::提出上诉¦court of appeal::上诉法院¦have appeal::引人入胜，有吸引力，有魅力¦emotional appeal::情绪感染；感性诉求¦appeal court::上诉法院¦lasting appeal::持久的吸引力；耐玩度¦right of appeal::上诉权；索赔权¦make an appeal::引起兴趣¦notice of appeal::上诉通知书¦appeal board::上诉委员会
appendix	n::附录；阑尾	vermiform appendix::n. 阑尾；蚓突
appetite	n::食欲	appetite for::对…的欲望¦loss of appetite::食欲不振¦good appetite::很好的胃口¦risk appetite::风险胃纳¦poor appetite::食欲不振¦appetite for risk::风险偏好；风险容量¦have a good appetite::v. 胃口好
applaud	v::鼓掌欢迎；赞成	
appliance	n::用具，设备，装置	home appliance::家电产品；家用电器¦electric appliance::家用电器；耗电器具¦electrical appliance::电器；电气器具，电气设备；电气用品¦household appliance::家用电器¦appliance industry::器械工业¦household electrical appliance::家用电具，家用电器¦medical appliance::医疗器械¦electrical appliance factory::电工器材厂¦office appliance::办公用品¦kitchen appliance::厨房电器，厨房用具¦lifting appliance::起重机械；起重设备；提升装置；吊具¦heating appliance::加热器
applicant	n::请求者，申请者	job applicant::求职人员
apply	v::要求，申请	apply oneself::减少对…之消耗量；努力，致力于…¦apply for::申请，请求¦apply for a job::求职；申请工作¦apply now::立即应用；马上申请；在线申请¦apply for a visa::申请签证¦apply for a patent::申请专利¦apply in person::亲自申请；亲自询问¦apply to customs::报关¦apply for a position::申请职位；谋职¦apply for reimbursement::报销
appointment	n::职位；约会	make an appointment::约会，预约¦make an appointment with::与某人约会¦have an appointment::有约会¦appointment system::委任制¦by appointment::按照约定¦letter of appointment::委任书，聘书¦appointment book::记事簿；预约簿
appraisal	n::估价，评价；鉴定	performance appraisal::成绩评价，业绩评价¦real estate appraisal::房地产评估；不动产评估¦assets appraisal::资产评估¦project appraisal::项目评估¦appraisal report::评估报告；[经]估价报告¦land appraisal::土地评价，土地估价；土地鉴定¦investment appraisal::投资评估；投资评价¦resource appraisal::资源估价¦staff appraisal::员工评估
appreciable	adj::可见的；明显的	
appreciate	v::欣赏，感激；涨价	
apprehension	n::理解；忧虑	
apprentice	n::学徒¦v::使当学徒	
approach	v::接近，着手处理¦n::接近；方法；途径	new approach::新方案；新做法¦an approach to::学习...的入门；学习...的途径¦basic approach::基本方法¦approach with::以…方式处理；向…提出建议¦design approach::设计方法；设计方式¦research approach::研究途径；研究方案¦analysis approach::分析方法；分析研究¦systematic approach::系统观点，系统研究法¦make an approach to::对…进行探讨¦analytical approach::分析方法¦process approach::过程研究法¦alternative approach::变换方法¦system approach::系统方法¦holistic approach::整体分析，整体研究¦direct approach::直接法；直接进场；直接接近法¦approach channel::进港航道；引水渠¦pragmatic approach::实际的方法；重实效的方法¦experimental approach::实验研究法¦systems approach::系统方法；系统论方法¦income approach::收益法；所得方法；入息计算法
appropriate	adj::合适的	as appropriate::酌情；[拉丁语]视情况而定¦appropriate time::适当时间¦if appropriate::任选地；如果有的话¦appropriate technology::适当的技术；适用技术¦be appropriate for::适合于¦appropriate authority::有关当局
approval	n::允许，赞同；批准	approval of::批准；同意¦examination and approval::审查准许¦for approval::提交批准¦approval process::审批流程；审批手续；批准流程¦prior approval::事先批准；预先审批；事前批准；事前许可；预先核准¦subject to approval::需经批准；以确认为准¦final approval::最后核准，最后批准¦approval authority::批准机关；核准权¦approval documents::批准文件¦written approval::书面许可，书面批准¦certificate of approval::合格证；批准证明书¦project approval::立项；项目批准；项目许可¦unanimous approval::一致通过¦official approval::正式批准；官方批准¦on approval::[俚]供试用的；包退换的¦type approval::型式批准¦approval procedure::审核手续；批准程序¦win approval::得到支持，获得通过¦seal of approval::批准印章¦loan approval::贷款批准；放款核准
approximate	adj::近似的，约略的¦v::接近，近似	approximate solution::[计]近似解¦approximate calculation::近似计算¦approximate method::近似法¦approximate formula::近似公式；近真公式¦approximate value::近似值，近似价值；概算价值¦approximate expression::近似式¦approximate analysis::n. 近似分析¦approximate number::近似数，近似值；大概的数目¦approximate treatment::近似处理；近似计算
apt	adj::聪明的；合适的；易于的	
aptitude	n::才能；能力	aptitude test::能力倾向测验；才能测验；能力测试¦have an aptitude for::有…的才能；有…的天性，有…的自然倾向¦academic aptitude::学术能力倾向；学术才能
attractive	adj::有吸引力的，讨人喜欢的	attractive appearance::造型美观¦attractive force::引力，吸引力¦attractive designs::款式新颖；款式新奇¦attractive and durable::美观耐用
attribute	v::归因于¦n::属性；象征；标志	attribute data::属性资料（数据）¦attribute value::属性值¦attribute name::属性名称¦product attribute::产品属性¦physical attribute::身体素质；物理属性
auction	n&vt::拍卖	auction house::拍卖行¦at auction::拍卖¦auction market::拍卖市场¦auction sale::拍卖¦public auction::[经]公开拍卖¦dutch auction::荷兰式拍卖；喊价逐步减低的拍卖¦auction price::（法）拍卖价格¦reverse auction::反向拍卖；逆向拍卖¦auction off::v. 拍卖掉；竞卖¦sale by auction::拍卖
audible	adj::听得见的	audible alarm::声音报警，音响报警¦audible sound::n. 可听见的声音
audience	n::听众，读者；接见	target audience::目标受众；目标观众；目标客户¦audience rating::n. 收视率；视听率¦mass audience::大众受众¦captive audience::受制而走不开的听众或观众¦audience share::收视率；受众份额
audit	n&vt::审计；查账	internal audit::内部审计，内部稽核¦audit committee::审计委员会¦audit report::n. 审计报告¦performance audit::业绩审计，绩效审计¦annual audit::年度查账¦national audit office::国家审计署¦external audit::外部（独立）审计¦independent audit::独立审计¦management audit::内部审计；经营审计¦quality audit::质量审核；质量监督¦financial audit::财务审计¦audit trail::审查跟踪，尾随审查；查帐索引；逐位跟踪¦audit evidence::审计证据；查帐证据¦audit fee::审计费；查帐公费¦energy audit::能源审计；能源审核；节能审查¦special audit::特种（专项）审计¦audit procedure::审计程序；查帐程序，检查程序¦compliance audit::合规性审计；符合规章审计；法规符合审计¦social audit::社会审计¦tax audit::税务审计；税务监查
audition	n::试听；试演；面试	audition for::向…试唱，试演；参加…面试；面试
auditorium	n::会堂；礼堂	
augment	v::增大，增加	
aupair	adj::国外来的(姑娘)帮助料理家务换取住宿的	
authentic	adj::真实的，可靠的	
authoritative	adj::有权威的；命令的；可靠的	authoritative information::官方消息¦authoritative source::权威人士；权威来源
authority	n::威信；当局；权威；权力	competent authority::[法]主管当局，主管部门¦authority on::有关…的权威；…的专家¦local authority::地方当局；地方政权¦administrative authority::行政当局¦tax authority::税务机关¦public authority::公共机关；政府当局¦in authority::有权；持有权力的地位¦judicial authority::司法机关¦legal authority::法定权威¦central authority::中央集权¦monetary authority::货币当局；金融管理专员¦port authority::港务局¦approval authority::批准机关；核准权¦regulatory authority::管理机构；制定规章的机构；执行机构¦aviation authority::民航当局¦have authority::管理；有管辖权¦limits of authority::税收管理权和权限，权限¦by the authority of::以…的权力；得到…许可¦certificate authority::凭证管理中心；认证授权¦authority control::权限控制；权威控制
authorize	v::授权	
automatic	adj::自动的，无意识的¦n::小型自动武器	automatic control::自动控制¦automatic control system::自动控制系统¦fully automatic::全自动的¦automatic system::自动系统；自动装置¦full automatic::全自动的¦automatic welding::自动焊接¦automatic transmission::自动换档；自动变速装置；自动驾驶¦automatic detection::自动检测¦automatic machine::自动机床；自动机械¦automatic testing::自动测试；自动校验；自动检验¦automatic test system::自动测试系统¦automatic equipment::自动设备；自动装置¦automatic operation::自动操作；自动运算¦automatic tracking::自动跟踪；自动跟踪仪¦automatic door::自动门¦automatic inspection::自动检查；自动检验¦automatic feed::自动进料¦automatic control theory::自动控制理论¦automatic switching::自动转换；自动开关¦automatic device::自动装置
automation	n::自动化，自动操作	industrial automation::工业自动化¦office automation::办公自动化¦automation equipment::自动化设备；自动化装置¦degree of automation::自动化程度¦process automation::过程自动化；工序自动化¦building automation::建筑自动化¦factory automation::工厂自动化¦design automation::设计自动化¦production automation::生产自动化¦test automation::测试自动化；自动测试¦full automation::完全自动化¦home automation::[计]家庭自动化¦department of automation::自动化系¦flexible automation::灵活自动化
automobile	n::汽车	automobile industry::汽车产业，汽车业；汽车工业¦automobile engine::汽车发动机引擎¦automobile insurance::汽车保险¦automobile factory::汽车厂¦electric automobile::电动汽车¦automobile emission::汽车尾气排放¦automobile manufacturer::汽车制造厂¦automobile clutch::汽车离合器¦automobile tire::汽车轮胎；汽车车胎¦automobile part::汽车零部件¦automobile club::n. 汽车俱乐部¦automobile plant::汽车工厂¦automobile crane::n. 汽车起重机
autonomy	n::自治，自治权	
auxiliary	adj::辅助的，协助的	auxiliary equipment::辅助设备，附属设备；备用设备¦auxiliary power::厂用电力¦auxiliary system::辅助系统¦auxiliary material::辅助材料¦auxiliary shaft::副轴；辅助竖井¦auxiliary function::辅助功能；辅助函数¦auxiliary device::辅助装置，辅助设备；附属装置¦auxiliary machinery::辅助机器¦auxiliary machine::辅助机械；备用机器¦auxiliary information::辅助信息¦auxiliary service::附属服务设备；附属服务¦auxiliary verb::助动词¦auxiliary power supply::自备供电设备¦auxiliary engine::辅助动力机¦auxiliary circuit::辅助电路¦textile auxiliary::纺织助剂¦auxiliary storage::辅助存储器（等于auxiliary memory）¦auxiliary power unit (apu)::辅助动力单元¦auxiliary operation::辅助操作¦auxiliary pump::辅助泵
avail	v::有益于，有用¦n::用处，利益	to no avail::无效，完全无用¦not avail someone::对某人不起作用¦of no avail::无效；不起作用¦avail of::利用¦without avail::无用；徒劳地¦of avail::有效，有用处
available	adj::可获得的，可用的	available for::可用于…的；对…有效的；能参加…的¦available on::仅在…有效（付款）¦available from::可向…购买¦available with::向（指定银行）押汇¦available resources::可利用的资源¦commercially available::市场上可买到的¦available data::现有数据；可用数据¦available information::可利用信息¦make available::使有用；使可用到¦available water::有效水分¦space available::可用空间¦available energy::有效能；可用能¦available time::可用时间；有效时间¦available funds::可用基金；可动用的资金¦available memory::可用内存¦available capacity::有效容积；可用功率¦available material::可用物料；可用材料；良品可使用¦available work::[物]可用功，可利用工时¦available light::[美术][摄影术]自然光线
censor	n&vt::审查，审查员；删改	
census	n::人口调查	census register::户籍登记簿¦census data::n. 户口普查资料¦census bureau::人口统计局，人口调查局；人口普查局¦population census::人口普查¦census taker::户口调查员¦census and statistics department::政府统计处；统计处
centenary	a&n::百年的；百年纪念	
ceramic	adj::陶瓷的；陶器的	ceramic tile::n. 瓷砖（有釉或无釉的）¦ceramic material::n. 陶瓷材料；陶瓷原料¦piezoelectric ceramic::压电陶瓷¦ceramic coating::陶瓷涂层¦ceramic membrane::陶瓷膜¦ceramic filter::陶瓷过滤器¦ceramic fiber::陶瓷纤维¦ceramic powder::陶瓷粉¦ceramic glaze::n. 釉¦ceramic product::陶瓷制品¦glass ceramic::玻璃陶瓷；陶瓷平台¦ceramic pigment::n. 陶瓷颜料¦ceramic substrate::陶瓷；陶瓷基片；陶瓷衬底¦ceramic plate::陶瓷板¦ceramic capacitor::[电]陶瓷电容器¦ceramic bearing::陶瓷轴承¦ceramic wall::n. 陶瓷砖墙¦ceramic mosaic::陶瓷马赛克；陶瓷锦砖¦ceramic metal::金属陶瓷¦ceramic fibre::陶瓷纤维；耐火陶瓷纤维
cereal	n::各类粮食	cereal grains::粮谷；谷粒¦cereal crop::禾谷类作物，粮食作物
ceremony	n::典礼，仪式；礼节	opening ceremony::开学典礼；开幕式；开幕仪式；开幕典礼¦wedding ceremony::n. 结婚典礼¦signing ceremony::签字仪式；签约仪式¦closing ceremony::闭幕典礼¦graduation ceremony::n. 毕业典礼¦award ceremony::颁奖仪式，颁奖典礼¦tea ceremony::茶道¦marriage ceremony::结婚仪式，结婚典礼¦inauguration ceremony::就职典礼¦launching ceremony::下水仪式；下水典礼¦solemn ceremony::隆重的典礼¦stand on ceremony::讲究客套；拘于礼节¦foundation stone laying ceremony::奠基仪式；奠基礼¦completion ceremony::竣工式，竣工仪式
certainty	n::必然的事，必然，确实，肯定	with certainty::确定无疑地¦to a certainty::必定，肯定¦for a certainty::确实，确定无疑地¦certainty factor::可信度；确定性因素
certificate	n::证书，执照	qualification certificate::资格证书¦registration certificate::登记证；注册证书；注册证明¦certificate of origin::[商]原产地证书¦inspection certificate::检验证明书；检查证明¦marriage certificate::结婚证书¦certificate of quality::品质证明书，质量证明书¦birth certificate::出生证明¦health certificate::健康证明书¦quality certificate::品质证明书；技师证明书¦deposit certificate::银行存款单¦certificate of registration::注册执照¦certificate of approval::合格证；批准证明书¦certificate authority::凭证管理中心；认证授权¦business registration certificate::商业登记执照¦graduation certificate::毕业证书¦valid certificate::有效证书；有效凭证¦death certificate::死亡证明¦acceptance certificate::验收证明书¦test certificate::试验证瞄；汽车（安全性能）证明¦identity certificate::身份证明书，身份证
certify	v::(发给证书)证明	
challenge	n&v::挑战；提出异议	meet the challenge::迎接挑战；满足要求¦rise to the challenge::接受挑战，奋起应付挑战¦take up the challenge::应战¦challenge cup::挑战杯；优胜杯；奖杯
chamber	n::房间；议院；贸易团体；弹膛	chamber of commerce::商会¦combustion chamber::[机]燃烧室¦red chamber::（加拿大议会）参议院¦anterior chamber::[医]前房¦chamber music::室内音乐¦international chamber of commerce::国际商会；国际工农商会¦air chamber::气囊¦vacuum chamber::真空室；压力室¦test chamber::试验箱；试验室¦chamber pressure::燃烧室压力¦bridal chamber::新房；洞房¦surge chamber::调压室，调节室¦chamber pot::夜壶；便壶¦working chamber::池窑的工作部¦inner chamber::内腔，内室¦mixing chamber::混合室；预燃室；搅拌间¦furnace chamber::炉腔¦anechoic chamber::消声室，无回音室¦cold chamber::冷却室；冷冻房¦heating chamber::加热室；高温室
champagne	n::香槟酒	pink champagne::玫瑰香槟酒¦champagne bottle::凹底很深的酒瓶；香槟酒瓶
champion	n::战士；拥护者；冠军¦v::支持，拥护；保卫	olympic champion::奥运冠军；奥林匹克冠军¦defending champion::卫冕冠军¦open champion::公开(锦标)赛冠军¦reigning world champion::卫冕世界冠军
chant	n::圣歌，赞美诗¦v::唱，歌颂	gregorian chant::格列高利圣咏（教皇格列高利一世采用，常无伴奏）
chaos	n::混乱，纷乱	in chaos::混乱；纷乱¦chaos theory::混沌理论¦chaos and confusion::混乱与浑沌¦deterministic chaos::[数]决定性混沌；命定混沌（等于chaos）
chapel	n::小教堂；殡仪馆	sistine chapel::（罗马梵蒂冈的）西斯廷教堂¦chapel hill::教堂山（美国一小镇）
characteristic	a&n::特有的，表示特征的；特性	characteristic of::特有的；表示…特性的¦dynamic characteristic::动态特性；负载特性曲线¦characteristic curve::特性曲线；特征曲线¦technical characteristic::技术特性¦flow characteristic::流动特性；量特性；怜特性¦frequency characteristic::频率特性¦characteristic value::特征值，特性值¦performance characteristic::工作特性¦load characteristic::负荷特性；负载特性；负载特性曲线¦quality characteristic::质量特性；品质特性¦characteristic equation::特征方程；特性方程¦response characteristic::[计]响应特性¦operating characteristic::运行特性¦characteristic impedance::特性阻抗¦physical characteristic::物理特性；体型特征¦static characteristic::静态特性¦transfer characteristic::传输特性；（显象管）信号-光特性¦characteristic function::特征函数¦characteristic line::特性线¦characteristic feature::性能特点
characterize	v::表示的特征	
charge	v::指控；控告；冲锋；要价；充电	in charge::负责，主管；在…看管下¦in charge of::负责；主管¦charge of::负责；管理¦free of charge::免费¦take charge::掌管，负责；主持；不受控制¦charge for::索价，要价；为…收费¦take charge of::接管，负责¦person in charge::负责人¦service charge::服务费¦electric charge::n. 电荷（等于charge，electricity）；电费¦charge for trouble::手续费¦space charge::空间电荷¦charge density::[化]电荷密度¦no charge::免费；不需付钱¦charge transfer::[物]电荷转移¦charge with::vt. 装；控告¦take in charge::逮捕；负责照料；引为己责¦extra charge::附加费；附加负载¦charge distribution::电荷分布¦charge at::冲击；猛攻
charity	n::赈济款、物；慈善团体；博爱	in charity::◎出于恻隐之心¦charity work::慈善工作¦out of charity::出于仁慈¦charity event::慈善活动；慈善赛；慈善事件¦charity begins at home::慈善要从家庭做起；仁爱始于家¦charity sale::义卖¦charity school::n. 慈善学校；贫民学校
charm	n&v::吸引力，可爱之处，迷人；行魔法	artistic charm::艺术魅力¦like a charm::效验如神地；异常成功地¦lucky charm::幸运符；护身符
clumsy	adj::笨拙的；愚笨的	
cluster	n::一串，一簇¦v::群集；丛生	cluster analysis::聚类分析；群集分析¦a cluster of::一群；一组；一串¦cluster sampling::分组取样；类集抽样；巢式抽样法¦star cluster::星团¦hierarchical cluster analysis::层序聚类分析¦server cluster::[计算机]服务器群集¦galaxy cluster::星系团¦gene cluster::基因簇，一组相同或者相似的基因¦open cluster::疏散星团，银河星团¦cluster bomb::子母弹；集束炸弹¦globular cluster::球状星团¦instrument cluster::仪表组；仪表板¦virgo cluster::室女座星系团；处女座星系团¦cluster headache::丛集性头痛；组合性头痛；头痛群¦consonant cluster::辅音连缀；辅音音丛
clutch	v::抓住，攫住¦n::抓，控制；离合器，攫	in the clutch::[口语]在关键时刻¦electromagnetic clutch::电磁离合器¦clutch at::抓住¦friction clutch::摩擦离合器¦automobile clutch::汽车离合器¦clutch disc::离合器片；离合圆盘¦clutch pedal::离合器踏板；离合皮板¦clutch cover::离合器盖¦overrunning clutch::单向离合器；超速离合器¦clutch plate::离合器片，从动盘¦safety clutch::过载离合器，安全离合器¦automatic clutch::自动离合器¦clutch brake::离合器制动器；离合脾；离合器煞车¦clutch assembly::离合器总成¦clutch housing::离合器壳¦clutch disk::离合器
coach	v::辅导，训练¦n::长途汽车；教师；教练	head coach::主教练；总教练¦assistant coach::助理教练
coalition	n::结合，联盟，联合	coalition government::联合政府¦coalition force::联军
coarse	adj::粗(糙)的; 粗俗的	coarse aggregate::粗集料；粗骨料¦coarse grain::n. 谷粒；粗晶粒；饲料用谷类¦coarse grained::粗纹理的；粗颗粒的¦coarse sand::粗砂（直径为0.2至2.0毫米）¦coarse grinding::粗粉碎，粗磨¦coarse particle::粗颗粒；粗分子；（颜料）粗粒子¦coarse powder::粗粉¦coarse coal::大块煤¦coarse mesh::粗网格；粗筛¦coarse cloth::粗织物¦coarse filter::粗滤器初滤器；粗滤池；粗过滤器¦coarse silt::粗粉土；粗粉砂¦coarse screen::粗孔筛；粗格栅¦coarse screening::粗筛选
cocaine	n::可卡因，古柯碱	crack cocaine::可卡因；快克古柯碱；霹雳可卡因
code	n::规则；代号；密码¦vt::把译成密码	
coed	n::男女同校的学生	
coeducation	n::男女同校	
coerce	v::强迫，迫使	
cognitive	adj::认识的	cognitive psychology::认知心理学¦cognitive linguistics::认知语言学¦cognitive function::认知功能¦cognitive process::认识过程；认知历程¦cognitive ability::认知能力¦cognitive science::认知科学；理性科学；认识科学¦cognitive structure::认知结构¦cognitive development::认知发展¦cognitive theory::认知理论¦cognitive style::认知方式；认知类型¦cognitive therapy::认知疗法¦cognitive skills::认知能力¦cognitive neuroscience::认知神经科学；神经系统学¦cognitive map::认知地图¦cognitive learning::认知学习¦cognitive dissonance::认知失调；认知悔误；内心冲突¦cognitive strategy::认知策略¦cognitive disorder::认知障碍¦cognitive domain::认知领域¦cognitive competence::认知能力
coherent	adj::黏着的；连贯的	coherent light::相干光，相干光线¦partially coherent light::部分相干光¦coherent demodulation::相干解调¦coherent signal::相干信号¦coherent radar::相干雷达；同调雷达¦coherent radiation::[化]相干辐射；相关辐射
coil	n::一卷；一圈¦v::盘绕，缠绕	coil in::进线；盘管进入接头¦ignition coil::点火线圈；感应线圈；高压包¦fan coil::风机盘管¦induction coil::感应线圈；电感器¦wire coil::丝卷；线盘；盘条¦voice coil::音圈¦coil winding::圈式绕组¦coil current::线圈电流¦coil coating::卷材涂料；线圈涂膜；卷材连续涂覆¦coil spring::螺旋弹簧；圆簧；卷簧；盘簧¦spring coil::弹簧圈¦arc suppression coil::消弧线圈，灭弧线圈¦heating coil::[计]加热线圈；[化]加热盘管；[医]加热蟠管¦stator coil::定子线圈¦coil pipe::盘管；蛇管¦coil diameter::线盘直径¦deflection coil::偏转线圈；偏向线圈¦secondary coil::二次线圈，次级线圈¦field coil::激磁线圈¦choke coil::抗流线圈
coin	n::硬币，铸币¦v::铸造，创造	gold coin::金币；小钱¦false coin::n. 假币¦silver coin::银币¦copper coin::n. 铜币¦flip a coin::抛钱币（决定）¦toss a coin::抛硬币决定问题；掷硬币猜正反面的赌博¦coin money::vi. 暴富；获暴利¦current coin::◎通货(指铸币)¦coin purse::装硬币的钱包；钱包；零钱袋¦commemorative coin::纪念币
coincide	v::恰好相合，时间巧合；意见一致	coincide with::符合；与...相一致¦happen to coincide::不约而同；不谋而合
