abandonment	ə'bændənmənt	əˈbændənmənt	n::放弃		...memories of her father's complete abandonment of her.::…她父亲对她的彻底抛弃的那些记忆。
address	ə'drɛs	ə'dres	v::解决	email address::电子邮箱信箱¦ip address::网络地址，IP地址¦address book::通讯簿；住址名册¦home address::家庭住址；标识地址；内部地址¦mailing address::邮寄地址¦network address::网络地址¦address space::地址空间¦address as::称呼¦e-mail address::电子邮件地址¦public address::公用地址；扩音装置¦address system::地址系统；称谓系统¦inaugural address::就职演说¦address translation::地址转换；位址翻译¦public address system::扩声系统；有线广播系统；公用地址系统¦correspondence address::通讯地址；通信地址¦specific address::专用地址¦full address::全地址¦physical address::物理地址；实际地址¦permanent address::永久地址；永久住址；原籍¦mail address::邮件地址；信件地址	
administration	əd,mɪnɪ'streʃən	ədˌmɪnɪˈstreɪʃn	n::管理，政府	administration of::◎(法律、惩罚等的)施行，执行，实行，实施；(药的)服用；用法；给与；(庄严的誓言或诺言的)提出，宣誓¦business administration::企业管理；经营管理¦public administration::公共行政；公共管理；行政管理¦general administration::总管理处¦food and drug administration::食品和药物管理局¦administration department::行政部¦educational administration::教育管理；教育行政管理¦civil administration::n. 民政¦tax administration::税务管理¦administration of justice::司法；司法行政；执法¦school administration::学校行政；学院管理¦oral administration::[医]口服¦state environmental protection administration::国家环境保护总局¦personnel administration::干部（人事）管理¦administration office::行政办公室；秘书室¦administration fee::管理费；手续费¦financial administration::财务管理¦administration structure::行政机构¦foreign exchange administration::外汇管理局¦administration building::行政办公楼	We’re looking for someone with experience in administration.::我们正在寻找一个有管理经验的人。¦The health service spends too much on administration.::医疗服务部门在行政方面花费太多。
adopt	ə'dɑpt	ə'dɒpt	v::采纳	adopt various methods::采取不同办法	The courts were asked to adopt a more flexible approach to young offenders.::法庭被要求对少年犯采取更为灵活的处理方法。¦The store recently adopted a drug testing policy for all new employees.::这家商店近来实行新雇员一律要做药检的政策。¦California has adopted a tough stance on the issue.::加利福尼亚州对这一问题持强硬立场。
adventure	əd'vɛntʃɚ	əd'ventʃə(r)	n::冒险	adventure film::惊险片	a great adventure::一大奇遇¦Ahab’s adventures at sea::亚哈的海上历险¦an adventure story::一个历险故事
adventurer	əd'vɛntʃərɚ	ədˈventʃərə(r)	n::冒险者		an adventurer travelling the world::周游世界的冒险家
adverse	ædˈvɚs, ˈædˌvɚs	ˈædvɜ:s	adj::相反的，敌对的	adverse effect::不利影响；副作用¦adverse selection::逆选择；相反的选择¦adverse reaction::不良反应；逆反应；有害反应¦adverse impact::负面影响¦adverse weather::恶劣天气；不利天气¦adverse factor::有害因素；有害因子¦adverse current::逆流¦adverse condition::不利条件；有害状态¦adverse balance::贸易逆差¦adverse balance of trade::逆差；贸易逆差¦adverse pressure::反压力；反压¦adverse criticism::反向批评；逆向评论	They fear it could have an adverse effect on global financial markets.::他们担心这会对全球金融市场产生不利影响。¦Miller’s campaign has received a good deal of adverse publicity .::米勒的竞选活动招来许多负面报道。
adversely	æd'vɝsli	əd'vɜ:slɪ	adv::不利地		I think everyone has something from their past that they're worried might adversely affect how they raise their children.::我想每个人都会担心自己过去的某些事可能会对他们如何培养孩子产生不利的影响。¦As my national security advisor, he had to deal with the British on many other issues that could be adversely affected by the visa.::作为我的国家安全顾问，托尼需要在许多其它问题上与英国人打交道，签证问题可能会对这些问题产生不利的影响。
affection	ə'fɛkʃən	əˈfekʃn	n::喜爱		She looked back on those days with affection .::她深情地回顾那些日子。¦Their father never showed them much affection .::他们的父亲对他们从来没有表现出多少慈爱。¦The church was held in great affection (=  loved and cared about a lot  ) by the local residents.::教会深受当地民众爱戴。
agenda	ə'dʒɛndə	ə'dʒendə	n::议程	item on the agenda::议程项目¦hidden agenda::隐秘的议程；幕后的动机¦agenda setting::议题设定；议程设定	The Republicans have stuck to their conservative agenda.::共和党人坚持自己的保守议题。
aggravate	'æɡrəvet	'æɡrəveɪt	v::加重，加剧		Their money problems were further aggravated by a rise in interest rates.::由于利率上调，他们的财务问题更加严重。¦Building the new road will only aggravate the situation .::建造那条新路只会使情况恶化。
agonize	'æɡənaɪz	'æɡənaɪz	v::使痛苦		As a mother, I agonize over what my children will inherit.::作为一个母亲，我对我的孩子们将要继承的东西感到极度痛苦。
aid	ed	eɪd	v::援助，有助于	with the aid of::在…的帮助下，在…援助下¦give aid to::给…予帮助¦first aid::急救；急救护理¦aid in::vt. 帮助；帮助（在...给予帮助）¦financial aid::经济援助；助学金；财政补助¦foreign aid::n. 外援，国外援助¦legal aid::法律援助¦in aid of::用以援助…之用¦by the aid of::借助于；通过…的帮助¦humanitarian aid::人道主义援助¦hearing aid::n. 助听器¦mutual aid::互助¦medical aid::医疗救护；医疗补助¦international aid::国际援助¦economic aid::经济救助¦teaching aid::教具¦emergency aid::紧急救援¦grinding aid::助磨剂，磨料；研磨助材¦filter aid::[化]助滤剂；助滤器¦state aid::国家补助；（美）州政府对地方公共事业的补助费	an index to aid the reader::方便读者的索引
alert	ə'lɝt	ə'lɜ:t	adj::机警的¦v::提醒	alert someone to sth::使...警觉；使...警惕¦on the alert::提防；警戒著；随时准备著¦red alert::紧急警报，红色警报；应急状况	The animal raised its head, suddenly alert.::那只动物突然警觉地抬起头来。¦Taking notes is one of the best ways to stay alert in lectures.::记笔记是听课时集中注意力的最佳方法之一。
alien	ˈeliən,ˈeljən	'eɪlɪən	adj::陌生的	alien from::相异的	the alien environment of the city::城里陌生的环境
allergic	ə'lɝdʒɪk	əˈlɜ:dʒɪk	adj::过敏的	allergic rhinitis::过敏性鼻炎¦allergic reaction::过敏反应；变态反应¦allergic asthma::[医]变应性气喘；敏性气喘¦allergic purpura::过敏性紫癜¦allergic disease::变应性疾病，变态反应病¦allergic contact dermatitis::变应性接触性皮炎；过敏性接触性皮炎¦allergic dermatitis::变应性皮炎	an allergic reaction to nuts::对坚果的过敏性反应
alternative	ɔl'tɝnətɪv	ɔ:lˈtɜ:nətɪv	n::代替品	alternative energy::替代能源；新能源¦alternative medicine::非传统医学¦have no alternative::没有别的办法了；没有其他选择¦alternative fuel::代用燃料；可替代燃料；人造液体燃料¦alternative method::替代的方法¦alternative approach::变换方法¦have no alternative but::v. 别无选择；只得；唯一的办法是¦alternative energy sources::替代能源¦alternative investment::另类投资¦alternative splicing::可变剪接¦alternative solution::可选择的解决方案¦alternative plan::交替计划；可供选择的方案¦alternative design::替代设计；比较设计¦alternative use::选择使用；交替使用¦alternative option::替代，替代物；比较选择方案¦alternative media::另类媒介；另类媒体¦alternative form::代替方式；替换制度	New ways to treat arthritis may provide an alternative to painkillers.::治疗关节炎的新方法可能会提供一种止痛药的替代品。
analytical	,ænə'lɪtɪkl	ˌænəˈlɪtɪkl	adj::分析的	analytical method::分析法¦analytical chemistry::[化]分析化学¦analytical solution::分析解；分析解法¦analytical model::分析模型，解析模型¦analytical technique::分析技术，分析技术方法¦analytical data::分析数据¦analytical framework::分析框架；分析架构¦analytical system::分析系统¦analytical approach::分析方法¦analytical procedure::分析性程序¦analytical balance::（灵敏度为0.1到0.01毫克的）分析天平¦analytical chemistry experiment::分析化学实验¦analytical reagent::[化]分析纯试剂¦analytical thinking::分析思维¦analytical function::分析函数，解析函数¦analytical laboratory::分析试验室¦analytical philosophy::分析哲学；语言分析学派¦analytical mechanics::[机]解析力学¦analytical studies::分析性研究¦analytical equipment::分析设备，分析装置	She’s got an analytical mind.::她思维缜密。
ancient	ˈeɪnʃənt	'eɪnʃənt	adj::古代的	ancient chinese::n. 古代汉语¦ancient times::古代，上古¦ancient city::古都¦in ancient times::在古代¦ancient greece::古希腊¦ancient greek::古希腊语¦ancient civilization::古代文明；远古文化¦ancient and modern::古今¦ancient capital::古都¦ancient history::西洋古代史；家喻户晓的故事¦ancient literature::古代文学¦ancient architecture::古代建筑¦ancient world::远古世纪¦ancient chinese literature::中国古代文学¦ancient relics::古代遗物，古迹¦ancient coins::古钱币¦history of ancient china::中国古代史¦ancient porcelain::古瓷	the ancient civilizations of Asia::亚洲的古代文明
ankle	'æŋkl	ˈæŋkl	n::脚踝	ankle joint::踝关节	slender ankles::纤细的脚踝
anonymous	ə'nɑnəməs	ə'nɒnɪməs	adj::匿名的	alcoholics anonymous::匿名戒酒互助社；慝名戒毒会	the anonymous author of a collection of poems::一本诗集的佚名作者¦According to one employee, who wishes to remain anonymous , the company engaged in illegal activities.::根据一位不愿透露姓名的员工所述，这家公司曾从事非法活动。
anticipate	æn'tɪsə'pet	æn'tɪsɪpeɪt	v::期望，预期		Sales are better than anticipated.::销量比预期要好。¦A good speaker is able to anticipate an audience’s needs and concerns.::好的演讲者能够预先考虑到听众需要什么、关注什么。
anxiety	æŋ'zaɪəti	æŋ'zaɪətɪ	n::焦虑	anxiety disorder::焦虑症；焦虑性障碍；焦虑症候群¦anxiety for sth::渴望¦test anxiety::考试焦虑；测验焦虑¦trait anxiety::特质焦虑，特质性焦虑¦anxiety neurosis::焦虑性神经机能病¦generalized anxiety disorder::广泛性焦虑，广泛性焦虑障碍¦performance anxiety::表现焦虑；作业焦虑	his feelings of anxiety::他焦虑的心情¦A high level of anxiety was created by the introduction of cameras into the factory.::工厂安装了摄像头，这引起了工人的高度不安。¦It can help if you discuss your anxieties with someone.::与别人谈谈自己的忧虑会有帮助的。
apartment	ə'pɑrtmənt	əˈpɑ:tmənt	n::公寓	apartment building::（美）公寓大楼¦apartment house::（美）隔成公寓的建筑物¦apartment complex::公寓大楼¦apartment block::公寓大楼¦furnished apartment::有家具的公寓¦apartment hotel::公寓式饭店；公寓式旅馆¦apartment for rent::房屋出租；公寓招租；吉屋出租¦studio apartment::n. 一个房间的小公寓住宅¦duplex apartment::套楼公寓；复式住宅（等于duplex）	She lives in a small apartment.::她住在一套小公寓里。
apathy	'æpəθi	ˈæpəθi	n::冷漠		The campaign failed because of public apathy.::由于公众反应冷淡，这次运动失败了。
apologize	ə'pɑlədʒaɪz	ə'pɒlədʒaɪz	v::道歉	apologize for::道歉	I’m so sorry, I do apologize.::非常对不起，我真心道歉。
applicable	'æplɪkəbl	əˈplɪkəbl	adj::可应用的	applicable scope::适用范围¦if applicable::如果适用；若可以¦applicable law::适用的法律；准据法¦where applicable::在适用情况下¦applicable medium::适用介质	What is a reasonable standard for one family is not applicable for another.::对一个家庭合理的标准对于另一个家庭并不适用。
applicant	'æplɪkənt	ˈæplɪkənt	n::申请者	job applicant::求职人员	We have had lots of applicants for these positions.::对这些职位我们已有了很多申请人。
appoint	ə'pɔɪnt	ə'pɔɪnt	v::任命		officials appointed by the government::政府任命的官员
appreciative	ə'priʃətɪv	əˈpri:ʃətɪv	adj::表示赞赏的，感谢的		There is a murmur of appreciative laughter.::有一阵低低的赞赏的笑声。
approach	ə'protʃ	ə'prəʊtʃ	n::方法	new approach::新方案；新做法¦an approach to::学习...的入门；学习...的途径¦basic approach::基本方法¦approach with::以…方式处理；向…提出建议¦design approach::设计方法；设计方式¦research approach::研究途径；研究方案¦analysis approach::分析方法；分析研究¦systematic approach::系统观点，系统研究法¦make an approach to::对…进行探讨¦analytical approach::分析方法¦process approach::过程研究法¦alternative approach::变换方法¦system approach::系统方法¦holistic approach::整体分析，整体研究¦direct approach::直接法；直接进场；直接接近法¦approach channel::进港航道；引水渠¦pragmatic approach::实际的方法；重实效的方法¦experimental approach::实验研究法¦systems approach::系统方法；系统论方法¦income approach::收益法；所得方法；入息计算法	He decided to adopt a different approach and teach the Bible through story-telling.::他决定采用一种不同的方法，通过讲故事来教授《圣经》。¦This book takes an unorthodox approach to art criticism.::这本书采用的是非传统的艺术评论方法。¦organizations which take a positive approach to creative thinking::对创造性思维采取积极态度的组织
appropriate	əˈpropriɪt	ə'prəʊprɪət	adj::适当的	as appropriate::酌情；[拉丁语]视情况而定¦appropriate time::适当时间¦if appropriate::任选地；如果有的话¦appropriate technology::适当的技术；适用技术¦be appropriate for::适合于¦appropriate authority::有关当局	The timing of the announcement was particularly appropriate .::通告发布的时机很合适。¦Where appropriate , I delegate as much work as possible.::只要合适，我就尽量把工作分派出去。¦Mark box 1 or 2, as appropriate .::把方框1和2中的合适者标出来。¦I can assure you that appropriate action will be taken.::我向你保证会采取适当的行动。
approve	ə'prʊv	ə'pru:v	v::赞同	approve oneself::[古语]证明为，表明为¦approve of::赞成¦examine and approve::审批¦check and approve::审阅	You've never approved of Henry, have you?::你从未赞赏过亨利，是吧？
approximately	ə'prɑksɪmətli	əˈprɒksɪmətli	adv::大约	approximately equal::约等于，近似等于	
arm	ɑrm	ɑ:m	v::装备，武装	in arms::怀抱着的；武装起来的¦on one's arm::由(或靠)手臂支撑着¦up in arms::竭力反对；进行武装斗争¦at arm's length::疏远；在手臂伸得到的地方¦right arm::右臂；得力助手¦with open arms::张开双臂；热情地；亲切地¦on the arm::[美国俚语]¦arm in arm::臂挽臂¦upper arm::上臂¦bear arms::携带武器；当兵¦with arms::武装的¦under his arm::（腋下）挟着¦robot arm::机械手臂；机器手¦long arm::长臂¦rocker arm::摇臂，摇杆¦swing arm::摇动臂¦control arm::n. 控制杆，操作杆¦arm of the law::[讽刺语]执法人(如警察、法官、律师等)¦take up arms::v. 拿起武器¦suspension arm::吊臂；弹簧吊架；悬挂臂，悬架臂	
arouse	ə'raʊz	ə'raʊz	v::唤起	arouse the enthusiasm of::调动积极性¦arouse from::v. 从…中唤醒	Matt’s behavior was arousing the interest of the neighbors.::马特的行为渐渐引起了邻居的兴趣。
arrogant	'ærəɡənt	ˈærəgənt	adj::傲慢无礼的		He was unbearably arrogant.::他的傲慢让人无法忍受。¦an arrogant attitude::傲慢的态度
artificial	,ɑrtɪ'fɪʃl	ˌɑ:tɪ'fɪʃl	adj::人造的，虚伪的	artificial intelligence::人工智能¦artificial leather::人造革¦artificial insemination::人工受精¦artificial stone::人造石¦artificial life::人工生命；人造生命¦artificial heart::[医]人工心脏¦artificial light::人造光¦artificial lake::人工湖；水库；人工蓄水池¦artificial flower::人造花¦artificial aging::人工时效；人工老化；人工硬化¦artificial color::人工色素¦artificial limb::n. 假肢¦artificial marble::人造大理石¦artificial lift::人工升举¦artificial person::[经]法人¦artificial silk::人造丝¦artificial respiration::人工呼吸；人工呼吸急救法¦artificial satellite::人造卫星¦artificial turf::人造草皮¦artificial lighting::[机]人工照明	artificial flowers::假花¦artificial light::人造光¦artificial fertilizers::化肥
aspect	'æspɛkt	'æspekt	n::方面	aspect ratio::纵横比；屏幕高宽比¦negative aspect::否定体；否定式¦aspect angle::视界角；视线角；扫描角¦environmental aspect::环境因素，环境状况	a south-facing aspect::朝南方向
assassinate	ə'sæsn'et	ə'sæsɪneɪt	v::刺杀，暗杀		a plot to assassinate the President::刺杀总统的阴谋
assemble	ə'sɛmbl	ə'sembl	v::收集，组装	assemble language::n. 汇编语言¦assemble line::作业的装配线	The aircraft will continue to be assembled in France.::飞机将继续在法国组装。
assessment	ə'sɛsmənt	əˈsesmənt	n::评估，评价	risk assessment::风险估计，危险率估计¦environmental impact assessment::环境影响评价¦assessment method::评价法¦environmental assessment::环境评价；环境评估¦quantitative assessment::定量评定（评价）¦life cycle assessment::生命周期研究法¦damage assessment::损坏情况估计¦assessment criteria::评估准则；评价准则¦security assessment::可靠性估计¦conformity assessment::合格评定；符合性评估；型式评价¦formative assessment::形成性评价；形成性测试；教学评测¦assessment process::评价程序，评估过程¦technology assessment::技术评估¦hazard assessment::危害评价，灾害评估¦portfolio assessment::档案评估¦qualitative assessment::质量评定¦preliminary assessment::初步评估；预备评估¦assessment center::评价中心，评估中心¦needs assessment::需求评估¦tax assessment::征税估值；税额查定；确定税款金额	a reading assessment test::阅读评估测试
association	ə,soʃɪ'eʃən	əˌsəʊʃɪ'eɪʃn	n::联系	association with::与…的交往；与…联合¦trade association::贸易协会；同业公会¦in association with::与…相联系；与…联合¦medical association::医学会；医疗协会¦an association::协会；社团¦articles of association::公司章程；组织章程¦business association::商业协会；业务联系¦alumni association::校友会¦professional association::专业协会；专业组织¦bar association::律师协会¦mortgage bankers association::抵押贷款银行家协会¦national basketball association::国家篮球协会（简称NBA）¦freedom of association::结社自由¦press association::通讯社¦american psychological association::美国心理学协会¦negative association::负相联，负结合¦free association::自由联想¦mineral association::矿物组合；共生矿物¦credit association::信用社¦word association::词联想	Scotland has all kinds of happy associations for me.::苏格兰给我各种各样愉快的联想。
athletic	æθ'lɛtɪk	æθˈletɪk	adj::运动的，运动员的	athletic sports::体育运动¦athletic field::运动场，田径场地¦athletic ability::运动能力¦athletic meeting::运动会；田径比赛	a tall athletic man::一个高大强壮的男子
atmosphere	'ætməsfɪr	'ætməsfɪə(r)	n::气氛，空气	earth's atmosphere::地球大气¦social atmosphere::社会气氛¦academic atmosphere::n. 学业风气，学习氛围¦working atmosphere::工作环境¦upper atmosphere::上层大气；高空大气¦controlled atmosphere::受控大气；人造大气¦protective atmosphere::保护气氛；保护蒙气¦atmosphere pressure::大气压力，大气压强¦lower atmosphere::低层大气，下层大气¦furnace atmosphere::炉气氛，炉内气氛；炉内蒙气¦oxidizing atmosphere::氧化气氛；权化气氛¦gas atmosphere::气氛¦explosive atmosphere::易爆气体环境；爆燃性空气¦inert atmosphere::惰性气氛¦reducing atmosphere::还原空气；还原性气氛；还原性蒙气¦neutral atmosphere::中性气氛；中性大气；中性蒙气¦standard atmosphere::标准大气¦tragic atmosphere::悲剧气氛	The hotel had a lovely relaxed atmosphere .::那家宾馆的气氛轻松愉快。¦The atmosphere at home was rather tense.::家里的气氛很紧张。
attendant	ə'tɛndənt	əˈtendənt	n::服务人员	flight attendant::空中服务人员¦room attendant::客房服务员¦train attendant::列车服务员	a car park attendant::停车场的服务员
authorities	ə'θɔrətɪz	ɔ:'θɒrɪtɪs	n::当局	taiwan authorities::台湾当局¦higher authorities::最高当局¦authorities concerned::有关当局；主管部门¦the school authorities::学校当局	This provided a pretext for the authorities to cancel the elections.::这给当局提供了一个取消选举的借口。
authority	ə'θɔrəti	ɔ:ˈθɒrəti	n::权威	competent authority::[法]主管当局，主管部门¦authority on::有关…的权威；…的专家¦local authority::地方当局；地方政权¦administrative authority::行政当局¦tax authority::税务机关¦public authority::公共机关；政府当局¦in authority::有权；持有权力的地位¦judicial authority::司法机关¦legal authority::法定权威¦central authority::中央集权¦monetary authority::货币当局；金融管理专员¦port authority::港务局¦approval authority::批准机关；核准权¦regulatory authority::管理机构；制定规章的机构；执行机构¦aviation authority::民航当局¦have authority::管理；有管辖权¦limits of authority::税收管理权和权限，权限¦by the authority of::以…的权力；得到…许可¦certificate authority::凭证管理中心；认证授权¦authority control::权限控制；权威控制	an agreement between the US and Colombian authorities::美国和哥伦比亚当局的一份协议
authorization	,ɔθərɪ'zeʃən	ˈɔ:θəraɪzeɪʃən	n::授权	authentication and authorization::鉴别与授权；验证和授权¦authorization letter::授权书；授权信¦letter of authorization::授权证书；委任证书¦written authorization::授权书；核准书¦access authorization::存取授权；访问权限¦authorization code::[计]授权代码	You need special authorization to park here.::在此停车要有特别的许可。¦Children may not leave the building without the authorization of the principal.::没有校长的许可，孩子们不能离开这幢楼。
automatic	'ɔtə'mætɪk	ˌɔ:tə'mætɪk	adj::自动的	automatic control::自动控制¦automatic control system::自动控制系统¦fully automatic::全自动的¦automatic system::自动系统；自动装置¦full automatic::全自动的¦automatic welding::自动焊接¦automatic transmission::自动换档；自动变速装置；自动驾驶¦automatic detection::自动检测¦automatic machine::自动机床；自动机械¦automatic testing::自动测试；自动校验；自动检验¦automatic test system::自动测试系统¦automatic equipment::自动设备；自动装置¦automatic operation::自动操作；自动运算¦automatic tracking::自动跟踪；自动跟踪仪¦automatic door::自动门¦automatic inspection::自动检查；自动检验¦automatic feed::自动进料¦automatic control theory::自动控制理论¦automatic switching::自动转换；自动开关¦automatic device::自动装置	an automatic weapon::自动武器¦an automatic gearbox::自动变速箱¦My camera is fully automatic .::我的照相机是全自动的。
auxiliary	ɔːɡ'zɪlɪəri	ɔ:gˈzɪliəri	adj::辅助的	auxiliary equipment::辅助设备，附属设备；备用设备¦auxiliary power::厂用电力¦auxiliary system::辅助系统¦auxiliary material::辅助材料¦auxiliary shaft::副轴；辅助竖井¦auxiliary function::辅助功能；辅助函数¦auxiliary device::辅助装置，辅助设备；附属装置¦auxiliary machinery::辅助机器¦auxiliary machine::辅助机械；备用机器¦auxiliary information::辅助信息¦auxiliary service::附属服务设备；附属服务¦auxiliary verb::助动词¦auxiliary power supply::自备供电设备¦auxiliary engine::辅助动力机¦auxiliary circuit::辅助电路¦textile auxiliary::纺织助剂¦auxiliary storage::辅助存储器（等于auxiliary memory）¦auxiliary power unit (apu)::辅助动力单元¦auxiliary operation::辅助操作¦auxiliary pump::辅助泵	an auxiliary nurse::助理护士¦auxiliary staff::辅助员工
available	ə'veləbl	əˈveɪləbl	adj::可获得的，可利用的	available for::可用于…的；对…有效的；能参加…的¦available on::仅在…有效（付款）¦available from::可向…购买¦available with::向（指定银行）押汇¦available resources::可利用的资源¦commercially available::市场上可买到的¦available data::现有数据；可用数据¦available information::可利用信息¦make available::使有用；使可用到¦available water::有效水分¦space available::可用空间¦available energy::有效能；可用能¦available time::可用时间；有效时间¦available funds::可用基金；可动用的资金¦available memory::可用内存¦available capacity::有效容积；可用功率¦available material::可用物料；可用材料；良品可使用¦available work::[物]可用功，可利用工时¦available light::[美术][摄影术]自然光线	Tickets are available from the box office.::售票处有票出售。¦Meetings were held to update employees as soon as new information became available .::一有新的信息就开会告诉员工。¦Further building can continue when money is made available .::有了资金就可以继续进一步的施工。¦Every available space on the wall was covered in pictures.::墙上每一个可用的地方都挂上了画。
awareness	ə'wɛrnəs	əˈweənəs	n::意识	awareness of::意识到¦environmental awareness::环境意识；环保意识¦brand awareness::品牌意识，商标意识；品牌知名度¦risk awareness::风险意识¦strengthen the awareness::提高意识；强化意识¦self-protection awareness::自我保护意识¦global awareness::全球意识；完整的意识，知觉	Health officials have tried to raise awareness (=  improve people’s knowledge  ) about AIDS.::卫生部官员努力提高人们对艾滋病的认识。
awesome	'ɔsəm	'ɔ:səm	adj::极好的，令人敬畏的		an awesome responsibility::一项令人惊惧的责任¦the awesome sweep of the scenery::连绵的壮丽景色
