textbook	'tɛkstbʊk	'teks(t)bʊk	n::教科书；课本::a book that contains information about a subject that people study, especially at school or college		a biology textbook::一本生物教科书	n::教科书，课本::coursebook, schoolbook						
repeat	rɪ'pit	rɪ'piːt	v::重复；重说；重写；重做::to say or write something again	repeat oneself::不自觉地重复¦and repeat::[美国英语]以及返程，打个来回¦repeat order::再订购¦automatic repeat request::自动重发请求¦tandem repeat::串联反复¦repeat back::回答指令，复述¦repeat mode::重复模式	Can you repeat your question?::你能重复一遍你的问题吗？¦Sorry - could you repeat that?::对不起——你能再说一遍吗？¦It is not, I repeat not, my fault.::那不是我的错，我再说一遍，不是。¦‘I promise,’ she repeated.::“我保证。”她又说了一遍。¦Repeat the exercises twice a day.::这套操每天做两次。	vt::重复；复制；背诵::read back, echo¦n::重复；副本::counterpart, iterance¦vi::重做；重复发生::do over, begin again	adj::repetitive::重复的¦adj::repeated::再三的，反复的¦adj::repeatable::可重复的；可复验的¦adv::repeatedly::反复地；再三地；屡次地¦adv::repetitively::重复地¦n::repetition::重复；背诵；副本¦n::repeater::[通信] 中继器；[通信] 转发器；重复者¦n::repetitiveness::重复¦v::repeated::重复；复述（repeat的过去分词）					
note	not	nəʊt	n::笔记；记录::something that you write down to remind yourself of something¦v::注意；指出::to notice or pay careful attention to something	please note::清注意¦of note::著名的，有名的¦editor's note::n. 编者的话；编者按¦take note::注意到；记笔记¦note on::音符开；注释¦take note of::注意；记笔记¦lecture note::讲义，上课笔记¦bank note::纸币；钞票；银行券¦explanatory note::注释；附注¦note down::记录某事¦make a note::作笔记¦promissory note::[商]本票；[商]期票¦personal note::人格底调子；正式照会；个人记事本¦note book::记事本；票据簿¦thank-you note::感谢信；致谢函¦make a note of::把…记下来¦debit note::借项清单；借方通知；收款票¦advice note::通知书，通知单¦taste note::品酒记录¦high note::高音；映象唱片	Can I borrow your lecture notes?::我能不能借用一下你的课堂笔记？¦He carefully noted the time when they left the building.::他们离开大楼的时候，他特别留意了一下时间。¦The judge noted that Miller had no previous criminal record.::法官指出米勒没有犯罪前科。	n::笔记；[声]音符；[金融]票据；注解；纸币；便笺；照会；调子::bill, minute, William¦vt::注意；记录；注解::watching, register, take care of	adj::notable::值得注意的，显著的；著名的¦adj::noted::著名的；显著的；附有乐谱的¦adj::noteworthy::值得注意的；显著的¦n::notation::符号；乐谱；注释；记号法¦n::notable::名人，显要人物¦n::notepaper::信纸；便条纸；笔记用纸¦v::noted::注意；记下（note的过去式和过去分词）¦vt::notate::以符号表示					
pal	pæl	pæl	n::朋友；伙伴::Your pals are your friends	pen pal::笔友（等于pen friend）	They talked like old pals.::他们像老朋友一样交谈。	n::朋友，伙伴；同志::friend, partner, fellow, comrade						
pattern	'pætɚn	'pæt(ə)n	n::模式；方式::the regular way in which something happens, develops, or is done	pattern recognition::模式识别¦growth pattern::生长模型；生长模式¦flow pattern::流型，流动型态；活动模；流线谱¦distribution pattern::分布格局，分布类型；分布型式，分布型；分配结构¦pattern design::n. 模型设计，图案设计¦regular pattern::正规图样，正常模式¦design pattern::设计模式；设计范式；设计样式¦sentence pattern::句型；句子模式¦spatial pattern::空间格局，空间形态；分布类型，空间模式¦pattern matching::模式匹配¦basic pattern::基本模型；衣服基本纸型¦pattern classification::模式分类¦behavior pattern::行为范型¦diffraction pattern::衍射图样；绕射图¦production pattern::生产纸样；生产形态¦economic pattern::经济模式；经济结构¦fringe pattern::条纹图形，干涉图样¦consumption pattern::消费模式，消费形式¦radiation pattern::辐射方向图，辐射图；辐射高温计¦speckle pattern::散斑图；斑纹图样	Weather patterns have changed in recent years.::气候模式近年已经发生了变化。¦A general pattern began to emerge .::一个总体模式开始显现。¦Their descriptions seemed to follow a set pattern (= always develop in the same way ) .::他们的描述似乎依据固定的模式。¦His behavior fits a pattern of violent acts.::他的举动符合暴力行为的模式。	n::模式；图案；样品::mode, device, design, schema, specimen¦vt::模仿；以图案装饰::simulate, imitate	adj::patterned::有图案的，组成图案的¦n::patternmaker::制模师，模型制造者；打样师；花样图案设计者；翻砂工¦v::patterned::形成图案（pattern的过去分词）；摹制；复写		pat(轻拍) ＋ tern(燕鸥) → 燕鸥轻拍留下图案 → 式样			
physics	'fɪzɪks	'fɪzɪks	n::物理；物理学::the science concerned with the study of physical objects and substances, and of natural forces such as light, heat, and movement	college physics::大学物理¦nuclear physics::核子物理¦particle physics::粒子物理学¦department of physics::物理系；物理学系¦theoretical physics::理论物理¦applied physics::应用物理学¦medical physics::医学物理学¦mathematical physics::数理物理学¦plasma physics::等离子物理¦general physics::普通物理¦quantum physics::n. 量子物理学；量子力学¦statistical physics::统计物理学¦high energy physics::高能物理学¦atomic physics::n. 原子物理学¦condensed matter physics::凝聚态物理；凝聚物理学¦classical physics::经典物理学¦solid state physics::固体物理，固体物理学¦physics chemistry::物理化学¦physics and astronomy::物理学和天文学¦space physics::空间物理，空间物理学；太空物理学	...the laws of physics.::…物理学定律。		adj::physical::[物] 物理的；身体的；物质的¦adj::physiological::生理学的，生理的¦adj::physicochemical::物理化学的¦adj::physiotherapeutic::物理疗法的；理疗的¦adv::physiologically::生理学方面¦n::physical::体格检查¦n::physiology::生理学；生理机能¦n::physicist::物理学家；唯物论者¦n::physiotherapy::物理疗法¦n::physiologist::生理学家，生理学者¦n::physiatrics::物理疗法¦n::physicalism::物理主义¦n::physiography::地文学，地相学；自然地理学；自然现象志					
chemistry	'kɛmɪstri	'kemɪstrɪ	n::化学::the science that is concerned with studying the structure of substances and the way that they change or combine with each other	organic chemistry::有机化学¦analytical chemistry::[化]分析化学¦physical chemistry::物理化学¦inorganic chemistry::无机化学¦quantum chemistry::量子化学¦applied chemistry::应用化学¦department of chemistry::化学系¦medicinal chemistry::药物化学；医疗化学¦polymer chemistry::高分子化学；聚合物化学¦environmental chemistry::[化]环境化学¦surface chemistry::[化]表面化学¦coordination chemistry::配位化学¦pharmaceutical chemistry::药物化学¦general chemistry::普通化学¦fine chemistry::精细化工；精细化学¦food chemistry::食品化学；食物化学¦medical chemistry::医化学¦atmospheric chemistry::大气化学¦material chemistry::材料化学¦analytical chemistry experiment::分析化学实验	a person’s body chemistry::人体的化学组成	n::[化学]化学；化学过程::chymist, chemical process	adj::chemical::化学的¦adj::chemic::化学的；炼金术的¦adj::chemotherapeutic::化学疗法的¦adv::chemically::用化学；以化学方法¦n::chemical::化学制品，化学药品¦n::chemist::化学家；药剂师¦n::chemotherapy::[临床] 化学疗法¦n::chemic::炼金术士；化学家¦n::chemiluminescence::[化学] 化学发光，化合光¦n::chemisorption::[化学] 化学吸收作用¦n::chemoreceptor::化学受体；[生理] 化学感受器（等于chemoceptor）¦n::chemosynthesis::[化学] 化学合成¦vt::chemisorb::用化学方法吸收；用化学方法吸附					
partner	'pɑrtnɚ	'pɑːtnə	n::搭档；同伴::someone you do a particular activity with, for example dancing or playing a game against two other people	business partner::商业伙伴，业务合作伙伴；买卖的合伙人¦partner with::v. 做伙伴¦trading partner::贸易伙伴；合作伙伴¦trade partner::贸易伙伴¦cooperation partner::合作伙伴¦life partner::生活伴侣¦sexual partner::性伴侣；配偶¦managing partner::办事员；任事股东¦limited partner::n. 有限责任股东；有限责任合伙人¦general partner::[经]普通合伙人¦senior partner::资深合伙人¦partner for life::终身伴侣¦sex partner::性伴侣；性伙伴¦common-law partner::法律同居伴侣；夫妻¦junior partner::新合伙人，资浅合伙人	Clare’s my tennis partner.::克莱尔是我的网球搭档。¦Take your partners for the next dance.::挑选下一支舞的舞伴吧。	n::伙伴；[法]合伙人；配偶::comrade, associate¦vi::[法]合伙；合股；成为搭档::joint stock, tie up¦vt::使合作；与…合伙::team	n::partnership::合伙；[经管] 合伙企业；合作关系；合伙契约		part(部分)+ner→生活的一部分→搭档			
pronounce	prə'naʊns	prə'naʊns	v::发音::to make the sound of a letter, word etc, especially in the correct way	pronounce on::对…发表意见	How do you pronounce your name?::你的名字怎么念？	vt::发音；宣判；断言::declare, pass sentence¦vi::发音；作出判断::articulate	adj::pronounced::显著的；断然的；讲出来的¦adj::pronounceable::读得出的；可发音的；可断言的¦n::pronunciation::发音；读法¦n::pronouncement::声明；宣告；公告；判决¦v::pronounced::发音；宣告；断言（pronounce的过去分词）		pron(代词)+(n)oun(名词)+ce→又是代词又是名词， 怎么发音？			
increase	'ɪnkris	ɪn'kriːs	v::增加；增长::if you increase something, or if it increases, it becomes bigger in amount, number, or degree	increase in::（使）在…增加；（使）在…增大¦increase production::增产¦increase by::增加了；按…增长¦price increase::价格上涨；提价¦on the increase::正在增加，正在增长¦increase efficiency::提高效率¦population increase::人口增长¦sharp increase::急剧上升；飞涨¦steady increase::稳定的增长¦capital increase::增资¦increase speed::加速¦increase in value::价值的增长；涨价¦salary increase::加薪¦volume increase::增产；体积膨胀¦percentage increase::增长百分率；增长的百分数¦fold increase::成倍增加¦entropy increase::熵增加¦increase in price::涨价¦increase employment opportunities::广开就业门路	The population increased dramatically in the first half of the century.::该世纪上半叶，人口大幅度增加。¦political tensions that might increase the likelihood of war::或许会增加战争爆发可能性的紧张政治局面¦Visits to the site have increased threefold since May.::来这里的参观者自5月起已增至原来的三倍。	n::增加，增长；提高::enhancement, growth, gain, raising, advance¦vi::增加，增大；繁殖::improve, gain, accelerate, breed, make¦vt::增加，加大::enhance, boost, jack, mount, hot	adj::increasing::越来越多的，渐增的¦v::increasing::增加，加大（increase的ing形式）					
speed	spid	spiːd	n::速度::the rate at which something moves or travels	high speed::高速全速¦speed up::加速；使加速¦low speed::低速；慢速¦in speed::迅速，赶快¦speed control::速度控制；速度控制器¦wind speed::风速¦speed regulation::速度调节；速度调整¦rotational speed::旋转速度，角速度；圆周速度¦rotating speed::转速；回转速度¦at high speed::全速¦variable speed::变速，可变速率¦rotation speed::旋转速度，转速；自旋马达之回转数¦full speed::全速¦cutting speed::切割速度¦processing speed::处理速度；加工速率¦high speed steel::高速钢；超切钢¦response speed::响应速度；反应速度¦at full speed::全速¦constant speed::恒速；等速¦speed limit::速度限制；最高车速	The truck was travelling at a speed of 50 mph.::卡车正以 50 英里的时速在行驶。¦particles that travel at the speed of light::以光速运动的粒子	vi::超速，加速；加速，迅速前行；兴隆::quicken up, to accelerate¦n::[力]速度，速率；迅速，快速；昌盛，繁荣::velocity, prosperity, up, tempo¦vt::加快…的速度；使成功，使繁荣::make a go of	adj::speedy::快的；迅速的；敏捷的¦adj::speeding::高速行驶的¦adv::speedily::迅速地；赶紧¦n::speeding::超速行驶¦n::speedometer::速度计；里程计¦n::speeder::快速行动的人或物；调节速度装置¦n::speediness::快速；迅速¦v::speeding::促进（speed的ing形式）					
ability	əˈbɪlətɪ	əˈbɪlətɪ	n::能力；才能::the state of being able to do something	innovation ability::创新能力¦ability for::在…的能力¦learning ability::学习能力¦practical ability::实践能力；实际能力¦technical ability::技术能力¦reading ability::阅读能力¦management ability::管理能力¦writing ability::写作能力；书写能力¦working ability::工作能力，加工能力¦physical ability::体能，体质能力；身体能力¦cognitive ability::认知能力¦service ability::工作能力¦ability to pay::支付能力¦combining ability::配合力¦develop ability::发挥才能¦executive ability::执行力；行政能力¦natural ability::本能¦administrative ability::行政能力；经营才能¦unique ability::独有能力¦adaptive ability::自适应能力	the ability to walk::行走的能力¦The test measures your mathematical ability.::这种测试考查的是数学能力。	n::能力，能耐；才能::capacity, competence, talent, quality, power			来自able(adj. 有能力的)			
brain	bren	breɪn	n::大脑::the organ inside your head that controls how you think, feel, and move	human brain::人脑¦brain injury::[医]脑损伤¦brain damage::脑损伤¦brain drain::人才外流；智囊流失¦brain tumor::脑瘤，脑癌；脑肿瘤¦brain activity::大脑活动¦on the brain::念念不忘；着迷¦brain stem::脑干¦brain power::脑力；智能¦brain death::[医]脑死亡¦brain cell::脑细胞¦brain surgery::脑外科；脑部手术¦blood brain barrier::血脑屏障¦brain trust::智囊团¦brain chemistry::脑化学¦brain truster::n. 顾问；智囊团团员¦brain scan::脑部扫描¦brain work::脑力劳动¦brain dead::脑死亡的¦brain storming::头脑风暴法，集体创造性思维法	Messages from the brain are carried by the central nervous system.::大脑发出的信息是通过中枢神经系统传递的。¦the chemistry of the brain::大脑的化学性质¦the human brain::人脑¦She died of a brain tumour.::她死于脑瘤。	n::头脑，智力；脑袋::intelligence, mind, mentality	adj::brainy::聪明的；脑筋好的；有头脑的¦adj::brainless::无头脑的，愚蠢的		和rain(n. 雨)一起记			
active	'æktɪv	'æktɪv	adj::活跃的；积极的::always busy doing things, especially physical or mental activities	active in::积极于¦active role::积极任务；活跃角色¦active part::积极的作用；能动部分，主动部分¦active power::有功（有效）功率¦active carbon::活性炭；活性炭黑¦surface active::表面活性的¦active ingredient::有效成分；活性组分¦active participation::主动参与；积极参加¦active agent::活性剂¦active component::活性组分；有效元件；作用分量¦surface active agent::表面活性剂¦active service::现役¦active oxygen::活性氧¦active fault::活动断裂；活性断层¦active learning::主动学习；积极学习¦active substance::活性物质；放射性物质；有效物质¦active suspension::主动制导悬架系统（一种由计算机控制的机动车悬架系统）¦active material::[核物]活性物质，放射性材料¦active network::有源网络¦active member::积极成员；活跃会员	games for active youngsters::活跃好动的年轻人玩的游戏¦She’s over 80, but is still very active.::她80多岁了，但仍旧很活跃。¦He became politically active at college.::他上大学时开始积极参与政治活动。	adj::积极的；[物化]活跃的；主动的；[电子]有效的；现役的::positive, valid, available, effective, virtual¦n::主动语态；积极分子::rustler	adj::activated::活性化的；活泼的¦adv::actively::积极地；活跃地¦n::action::行动；活动；功能；战斗；情节¦n::activity::活动；行动；活跃¦n::act::行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势¦n::actor::男演员；行动者；作用物¦n::activation::[电子][物] 激活；活化作用¦n::activist::积极分子；激进主义分子¦n::activism::行动主义；激进主义¦n::activator::催化剂；[助剂] 活化剂；[助剂] 激活剂；触媒剂¦n::activeness::主观能动性；活动积极性¦n::activewear::运动服（等于active wear）¦v::activated::使激活；使活动起来；有生气（activate的过去分词）¦vi::act::行动；扮演，充当；表现，举止；假装，演戏；起作用，见效¦vi::activate::激活；有活力¦vt::act::扮演；装作，举动像¦vt::activate::刺激；使活动；使活泼；使产生放射性		act(行动)+ive(形容词后缀)→积极的			
attention	ə'tɛnʃən	ə'tenʃ(ə)n	n::注意；关注::when you carefully listen to, look at, or think about someone or something	pay attention::专心；集中注意力¦pay more attention to::更加注意¦pay close attention to::密切注意¦be paid attention to::关心¦give one's attention to::v. 注意¦give attention to::考虑；注意；关心¦public attention::公众的关注¦attract attention::vi. 引起……的注意¦for your attention::请你注意；您的关照¦draw attention::引起注意¦with attention::adj. 留心地，注意地¦medical attention::医疗照顾；医疗看护¦immediate attention::注视；及时关注¦pay no attention to::不注意，不在意¦matters need attention::注意事项¦call attention to::唤起注意¦prompt attention::从速办理¦undivided attention::一心一意¦attention span::注意广度；注意力的持续时间¦attention deficit hyperactivity disorder::过动症，注意力不足过动症；过度活跃症	My attention wasn’t really on the game.::我的注意力其实不在比赛上。¦She tried to pay attention to what he was saying.::她尽量注意听他说话。¦If you paid more attention in class, you might actually learn something!::要是你上课更认真些，也许能实实在在地学到些东西！¦Scott sat down at his desk and turned his attention to the file he had in front of him.::斯科特在自己的办公桌前坐下，将注意力转向面前的文件。¦As a society we need to give more attention to the needs of older people.::生活在同一社会里，我们得更加关注长者的需求。¦Now he’s gone, I can give you my undivided attention .::现在他已经走了，我可以把全部注意力都放在你身上。¦This game is fun and is sure to keep the attention of any young student.::这个游戏很有趣，一定能使年幼学生保持注意力。¦They listened to the speech with close attention .::他们很认真地听演讲。¦Attention to detail is essential in this job.::关注细节是这份工作所必需的。¦During the lecture Sarah’s attention began to wander .::上课时，萨拉开始走神了。	n::注意力；关心；立正！（口令）::consideration, thought	adj::attentive::留意的，注意的¦adj::attentional::注意的；保养的¦adv::attentively::注意地；聚精会神地；周到地¦n::attentiveness::注意力；专注		at+tent(伸)+ion→伸长脖子听→专心			
pay attention to			::注意；关注::		In this materialistic age we do not have time to pay attention to our surroundings.::在这唯物主义的时代里，我们没有时间去注意我们周围的世界。¦In economic work, we should pay attention to opening up the source and regulating the flow from time to time.::在经济工作中， 应该经常注意开源节流。¦We should pay attention to this from the very beginning.::我们从一开始就要注意这个问题。	::注意；重视::watching, take care of						
connect	kə'nɛkt	kə'nekt	v::（使）连接；与...有联系::to join two or more things together	connect with::连接；与…联系¦connect up::连接，接上¦network connect::网络连接	We’d like two rooms with connecting doors (= doors that join the rooms ) .::我们想要两个有门相通的房间。¦I didn’t connect the two events in my mind.::我心里没把这两件事联系起来。	vt::连接；联合；关连::couple, hand in hand¦vi::连接，连结；联合::band, combine	adj::connected::[计] 连接的；有联系的；连贯的¦adj::connective::连合的，连接的¦adj::connectible::可联结的¦n::connection::连接；关系；连接件¦n::connector::连接器，连接头¦n::connectivity::[数] 连通性¦n::connective::连接词；连接物¦n::connectedness::[数] 连通性¦n::connecter::连接器；联系者¦n::connectionist::联结主义¦v::connected::连接（connect的过去式）		con ＋ nect(连接) → 结合			
connect … with			::把...和...连接或联系起来::		There is no evidence to connect them with the attack.::没有证据把他们和这次袭击联系在一起。	::连接；与…联系::connect up, get in touch with						
overnight	'ovənaɪt	əʊvə'naɪt	adv::一夜之间；在夜间::for or during the night		Pam’s staying overnight at my house.::帕姆要在我家过夜。	adv::通宵；突然；昨晚::short, pop¦adj::晚上的；通宵的；前夜的::all-night			over ＋ night(夜) → 整夜			
review	rɪ'vju	rɪ'vjuː	n::回顾::a report on a series of events or a period of time, that mentions the most important parts¦v::复习；回顾::to look again at something you have studied, such as notes, reports etc	literature review::文献回顾；文献综述；文献评论¦judicial review::n. 司法审查；复审¦comprehensive review::全面审查¦general review::总复习；一般性综述¦book review::书评¦peer review::同业互查¦under review::在检查中；正在审查¦design review::设计评论¦in review::在检查中¦performance review::服务表现检讨；业绩评价¦management review::管理评审，管理审查；管理评论¦annual review::年度复查；年度综论¦review board::审查委员会¦critical review::评论¦review committee::复核委员会¦review mechanism::审查制度；复核机制¦review meeting::审核会；工作总结会¦periodic review::定期检查；按期盘点¦preliminary review::预审；预先复查；初审¦pass in review::◎检阅，阅兵；使(军队)分列前进	a review of the year::对这一年的回顾¦I’ve got to revise my geography.::我得复习一下地理。¦a journalist who will review the events of the past six months::将对过去六个月里所发生的事件进行回顾的记者	n::回顾；复习；评论；检讨；检阅::comment, retrospection¦vt::回顾；检查；复审::examine, inspect¦vi::回顾；复习功课；写评论::look back to, look back on	n::reviewer::评论者，评论家		re(重新， 再) + view(看) → 回顾； 复习			
knowledge	'nɑlɪdʒ	'nɒlɪdʒ	n::知识；学问::the information, skills, and understanding that you have gained through learning or experience	knowledge of::知识¦knowledge economy::知识经济¦knowledge management::n. 知识管理¦basic knowledge::基础知识，基本知识¦professional knowledge::专业知识；专门知识¦knowledge base::知识库¦knowledge structure::知识结构¦scientific knowledge::科学知识¦knowledge representation::知识表示；知识表达¦general knowledge::常识；各方面的知识¦technical knowledge::技术知识¦specialized knowledge::专业知识；专门知识¦knowledge acquisition::知识获取；知识习得；知识获得；知识采集¦tacit knowledge::隐性知识；默会知识¦human knowledge::人的认识¦expert knowledge::专家知识，专门知识¦domain knowledge::领域知识¦theory of knowledge::认识论；熟悉论¦in the knowledge that::在知道…的情况下¦practical knowledge::实践性知识，实用性知识；实务知识	He did not have much knowledge of American history.::他对美国历史所知不多。	n::知识，学问；知道，认识；学科::information, awareness, science, learning, discipline	adj::knowledgeable::知识渊博的，有知识的；有见识的；聪明的¦adj::knowing::心照不宣的； 博学的；狡猾的¦adj::knowable::可知的；能认识的；易知的¦n::knowing::认知¦n::knower::认识者；理解者¦v::knowing::知道；认识；确信（know的ing形式）					
wisely	'waɪzli	'waizli	adv::明智地；聪明地::showing good judgment		Sian had very wisely left the party before all the trouble started.::沙恩很明智地在一切麻烦开始之前就离开了那个聚会。¦Please use what you have wisely.::请明智地花费你所拥有的。	adv::明智地；聪明地；精明地::intelligently, cleverly	adj::wise::明智的；聪明的；博学的¦n::wisdom::智慧，才智；明智；学识；至理名言¦n::wiseacre::自以为聪明者¦n::wiseness::聪明¦n::wisenheimer::自作聪明的人¦vi::wise::了解¦vt::wise::使知道；教导					
