adrift	ə'drɪft	əˈdrɪft	adj::漫无目的地； 漂浮着::a boat that is adrift is not fastened to anything or controlled by anyone		Several of the lifeboats were still afloat a month after being cast adrift .::放漂一个月后，有几艘救生艇还在漂流。	adj::漂泊的；漂浮着的::vagrom, anchorless						
concept	'kɑnsɛpt	ˈkɒnsept	n::观念；想法::an idea of how something is, or how something should be done	new concept::新概念¦basic concept::基本概念；本义¦design concept::设计理念；设计构思；设计原理¦concept design::概念设计¦marketing concept::市场营销观念¦general concept::一般概念；概念知识¦product concept::产品概念¦key concept::关键概念；基本概念；主要概念¦concept map::概念图¦concept car::概念车¦concept development::概念发展¦time concept::时间概念¦concept art::概念艺术；概念创作图¦operational concept::操作概念；作战原则¦production concept::生产观念¦concept vehicle::概念车¦accounting concept::会计基础理论；会计学概念；会计观念¦concept learning::概念学习¦spatial concept::空间概念¦concept formation::概念形成	a new concept in business travel::商务旅行的新理念¦our basic concepts of decent human behaviour::我们对得体的人类行为的基本观念¦It’s very simple, once you grasp the concept .::你一旦掌握了这个概念之后就很简单了。	n::观念，概念::idea, sense, notion, construct	adj::conceptual:: 概念上的¦adj::conceptional:: 想象的；概念上的¦adj::conceptive:: 概念上的；有想像力的¦adv::conceptually:: 概念地¦n::conception:: 怀孕；概念；设想；开始¦n::conceptualization:: 概念化；化为概念¦n::conceptualism:: 概念论¦vi::conceptualize:: 概念化¦vi::conceptualise:: 概念化（等于conceptualize）¦vt::conceptualize:: 使概念化¦vt::conceptualise:: 使…概念化（等于conceptualize）					
congress	'kɑŋɡrəs	ˈkɒŋgres	n::国会；大会::a formal meeting of representatives of different groups, countries etc, to discuss ideas, make decisions etc	national people's congress::全国人民代表大会¦library of congress::n. 美国国会图书馆¦congress party::国大党¦african national congress::非洲国民大会¦continental congress::大陆会议¦member of congress::国会议员；美国众议院议员¦act of congress::国会法	a congress of the ruling Labor Party::执政党工党的代表大会	n::国会；代表大会；会议；社交::session, conversation, meeting, parliament	adj::congressional:: 国会的；会议的；议会的¦n::congressman:: 国会议员；众议院议员¦n::congresswoman:: （美）国会女议员；众议院女议员					
consequence	'kɑnsəkwɛns	ˈkɒnsɪkwəns	n::结果::something that happens as a result of a particular action or set of conditions	as a consequence::因此，结果¦in consequence::因此；结果¦as a consequence of::因此；由于…的结果¦in consequence of::由于…的缘故¦of consequence::重要，有意义¦of no consequence::无足轻重¦evil consequence::恶果¦immediate consequence::直接后果¦economic consequence::经济后果；经济结果	Her lawyer said she understood the consequences of her actions and was prepared to go to jail.::她的律师说她明白自己行为的后果并准备去坐牢。	n::结果；重要性；推论::outcome, product, result, significance, event, conclusion	adj::consequent:: 随之发生的；作为结果的¦adj::consequential:: 间接的；结果的；重要的；随之发生的；自傲的¦adv::consequently:: 因此；结果；所以¦n::consequent:: 结果					
contagious	kən'tedʒəs	kənˈteɪdʒəs	adj::有感染力的；会蔓延的::if a feeling, attitude, or action is contagious, other people are quickly affected by it and begin to have it or do it	contagious disease::接触传染病	her contagious enthusiasm::她那富有感染力的热情		adv::contagiously:: 传染性地；蔓延地¦n::contagion:: 传染病；蔓延；触染					
contemporary	kən'tɛmpərɛri	kənˈtemprəri	adj::当代的；同时代的::belonging to the present time	contemporary art::当代艺术¦contemporary literature::n. 现代文学¦the contemporary era::当代¦contemporary western philosophy::当代西方哲学	She writes a lot of contemporary music for people like Whitney Houston.::她为惠特尼·休斯敦等人创作大量当代音乐作品。	n::同时代的人；同时期的东西::coeval¦adj::当代的；同时代的；属于同一时期的::modern-day, cotemporary	adj::contemporaneous:: 同时期的；同时代的，同时发生的¦adv::contemporaneously:: 同时地；同时代地¦n::contemporaneity:: 同一时期，同时代¦vi::contemporize:: 同时发生；成为同一时代¦vt::contemporize:: 使同时发生；使成为同一时代					
contempt	kən'tɛmpt	kənˈtempt	n::轻视；蔑视::a feeling that someone or something is not important and deserves no respect	contempt of court::蔑视法庭；对法院的藐视罪¦in contempt of::不顾；不把…放在眼里；藐视¦beneath contempt::卑鄙到极点的	The public is treated with contempt by broadcasters.::公众受到了节目主持人的轻蔑对待。¦How could she have loved a man who so clearly held her in contempt ?::她怎么会爱上一个明显看不起她的男人呢？	n::轻视，蔑视；耻辱::despite, defiance	adj::contemptible:: 可鄙的；卑劣的；可轻视的					
crave	krev	kreɪv	v::渴望，热望::to have an extremely strong desire for something	crave for::渴望	an insecure child who craves attention::缺乏安全感、渴望被关注的孩子	vt::渴望；恳求::wish, long for¦vi::渴望；恳求::rare, aspire	n::craving:: 渴望；热望¦v::craving:: 渴望；恳求（crave的ing形式）					
deprive	dɪ'praɪv	dɪˈpraɪv	v::剥夺，使丧失::If you deprive someone of something that they want or need, you take it away from them, or you prevent them from having it	deprive of::vt. 剥夺；失去	They've been deprived of the fuel necessary to heat their homes.::他们无法得到住房取暖必需的燃料。	vt::使丧失，剥夺::shear, strip of	n::deprivation:: 剥夺；损失；免职					
detect	dɪ'tɛkt	dɪˈtekt	v::察觉；侦查::to notice or discover something, especially something that is not easy to see, hear etc		Many forms of cancer can be cured if detected early.::如果发现得早，许多种癌症都可以治愈。	vt::察觉；发现；探测::explore, perceive	adj::detective:: 侦探的¦adj::detectable:: 可检测的；可发觉的¦n::detection:: 侦查，探测；发觉，发现；察觉¦n::detective:: 侦探¦n::detector:: 检测器；发现者；侦察器					
deter	dɪ'tɝ	dɪˈtɜ:(r)	v::阻止，制止::to stop someone from doing something, by making them realize it will be difficult or have bad results		The company’s financial difficulties have deterred potential investors.::该公司的财务困境令潜在的投资者望而却步。	vt::制止，阻止；使打消念头::dispute, block, restrain	n::determent:: 制止；威慑					
disgrace	dɪs'ɡres	dɪsˈgreɪs	v&n::耻辱::the loss of other people’s respect because you have done something they strongly disapprove of	in disgrace::很不讨人喜欢	Smith faced total public disgrace after the incident.::事情发生之后，史密斯声名狼藉。¦His actions brought disgrace on the family.::他的行为让家人蒙羞。¦There was no disgrace in finishing fourth.::得了个第四名没什么丢脸的。	n::耻辱；丢脸的人或事；失宠::ignominy, opprobrium	adj::disgraceful:: 不名誉的，可耻的¦adj::disgraced:: 失宠的；遭贬谪的¦adv::disgracefully:: 不光彩地；可耻地¦v::disgraced:: 耻辱；贬谪（disgrace的过去式和过去分词）	esteem				
dispel	dɪ'spɛl	dɪˈspel	v::消除（疑虑等）::to make something go away, especially a belief, idea, or feeling		We want to dispel the myth that you cannot eat well in Britain.::我们要消除在英国吃不好的误解。¦Light poured into the hall, dispelling the shadows.::阳光洒进大厅，驱散了阴影。	vt::驱散，驱逐；消除（烦恼等）::eliminate, avoid						
dispute	'dɪs'pjʊt	dɪˈspju:t	v::争论；对...提出质疑::to argue or disagree with someone	dispute resolution::[法律]调解纠纷¦in dispute::在争论中¦labor dispute::劳动争议；劳资纠纷¦dispute about::争论，辩论¦trade dispute::贸易纠纷¦beyond dispute::无疑地；没有争论余地¦labour dispute::劳资争议¦legal dispute::法律纠纷¦dispute settlement body::争端解决机构；争端处理机构；争端解决机制¦under dispute::在争论中¦settle dispute::解决争端；解决争议	What happened next is hotly disputed .::关于后来发生了什么，争论很激烈。	vt::辩论；怀疑；阻止；抗拒::discuss, debate, argue, stem, block¦vi::争论::debate, argue with¦n::辩论；争吵::argument, debate, brush, controversy	adj::disputed:: 有争议的¦adj::disputable:: 有讨论余地的；真假可疑的¦adj::disputant:: 争论的¦adj::disputative:: 好争论的；爱争辩的；有关争论的¦n::disputation:: 争论；辩论；驳斥¦n::disputant:: 争论者，辩论者¦v::disputed:: 争论；激烈争辩（dispute的过去分词）					
disseminate	dɪ'sɛmɪnet	dɪ'semɪneɪt	v::散布，传播::to spread information or ideas to as many people as possible		Her findings have been widely disseminated .::她的发现已广为传播。	vt::宣传，传播；散布::distribute, publicize, transmit¦vi::散布；广为传播::shed, put about	adj::disseminative:: 传播的；散布的¦n::dissemination:: 宣传；散播；传染（病毒）¦n::disseminator:: 传播者；撒种者					
dove	dʌv; dov	dʌv	n::鸽::a kind of small white  pigeon (= bird )  often used as a sign of peace		The eagle perched on a nearby branch and said, "You can save the dove, but that means you're starving me.::那只老鹰停在附近的一枝树枝上，说道：“你救了鸽子，就意味着要让我饿肚子。¦As part of the study, due to be unveiled later this month, participants were given the option of being a ‘dove’ and cooperating with others for shared benefit, or taking on the role of a ‘hawk’.::该项研究的具体内容将会在本月末公布，其中的一项内容是一个游戏，参与者可以选择成为“鸽派”的角色， 与他人合作共享利益， 或者成为“鹰派”的角色。¦As ‘hawks' they had the chance to gain more if the other participant chose to be a ‘dove’.::作为鹰派， 他们有机会可以赚得更多， 如果其他的参与者选择成为鸽派。	n::鸽子；鸽派人士::pigeon, La paloma¦v::潜水（dive的过去式）::dived	adj::diving:: 跳水的，潜水的¦adj::dovish:: 鸽派的；主和的¦n::dive:: 潜水；跳水；俯冲；扑¦n::diving:: 跳水，潜水¦n::diver:: 潜水者；跳水的选手；潜鸟¦v::diving:: 跳水（dive的现在分词）；潜水¦vi::dive:: 潜水；跳水；俯冲；急剧下降					
drag	dræg	dræg	v::拖拽； 吃力地往前拉::to pull something along the ground, often because it is too heavy to carry	drag on::拖延¦drag and drop::拖放¦drag reduction::减阻¦drag coefficient::阻力系数；曳引系数¦drag in::插入讨论中；拉进¦drag force::拖曳力，曳力¦click and drag::单击并拖动¦drag down::向下拖¦aerodynamic drag::空气动力阻力¦friction drag::摩阻；磨擦阻力¦air drag::空气阻力¦drag along::拖着脚走，慢慢地行走¦drag out::拖延¦frictional drag::摩擦阻力；摩擦拽力¦drag link::拉杆¦drag racing::直线加速赛；短程高速赛车；减重短程高速汽车赛；街头飚车（汽车）¦drag torque::阻力矩；曳力矩；拖曳转矩¦drag chain::牵引链¦wave drag::波阻¦drag over::拖过；拖出	He grabbed her arm and dragged her into the room.::他抓住她的手臂把她拖进房间。	vt::拖累；拖拉；缓慢而吃力地行进::cumber with, ball and chain¦vi::拖曳；缓慢而吃力地行进::daggle¦n::拖；拖累::pull, tow	adj::dragging:: 拖延的；拖曳用的¦n::dragger:: 拖曳等之人或物；小型拖网渔船¦vt::dragging:: 牵引（drag的现在分词）					
ensure	ɪn'ʃʊr	ɪn'ʃʊə(r)	v::保证，确保::to make certain that something will happen properly	ensure public security::保安¦ensure from::v. 保护	facilities to ensure the safety of cyclists::确保骑车人安全的设施	vt::保证，确保；使安全::undertake, assure, insure						
especially	ɪ'spɛʃəli	ɪˈspeʃəli	adv::尤其，特别是::used to emphasize that something is more important or happens more with one particular thing than with others	especially english::具有英国特征的	I never liked long walks, especially in winter.::我向来不喜欢长距离散步，尤其在冬天。¦Art books are expensive to produce, especially if they contain colour illustrations.::美术类书籍制作成本很高，尤其是那些带彩色插图的。	adv::特别；尤其；格外::peculiarly, notably	adj::especial:: 特殊的，特别的					
expel	ɪk'spɛl	ɪkˈspel	v::驱逐；赶走；把…除名::to officially force someone to leave a school or organization	expel from::v. 驱逐出；开除；排出	More than five-thousand high school students have been expelled for cheating.::五千多名中学生因考试作弊而被开除。	vt::驱逐；开除::remove, oust	n::expelling:: 驱逐；排出；压榨法¦v::expelling:: 驱逐（expel的ing形式）					
fate	fet	feɪt	n::命运::the things that happen to someone or something, especially unpleasant things that end their existence or end a particular period	as sure as fate::千真万确	I wouldn’t wish such a fate on my worst enemy.::就算是我不共戴天的仇敌，我也不希望他遭遇这样的命运。	n::命运::lot, destiny, fortune, portion, cup of tea¦vt::注定::predestine, foreordain	adj::fatal:: 致命的；重大的；毁灭性的；命中注定的¦adj::fateful:: 重大的；决定性的；宿命的¦adj::fated:: 命中注定的，宿命的；受命运支配的¦adv::fatally:: 致命地；命中注定地；不可避免地¦adv::fatefully:: 宿命地；决定性地¦n::fatality:: 死亡；宿命；致命性；不幸；灾祸¦n::fatalism:: 宿命论¦n::fatalist:: 宿命论者					
federal	'fɛdərəl	ˈfedərəl	adj::联邦的::a federal country or system of government consists of a group of states which control their own affairs, but which are also controlled by a single national government which makes decisions on foreign affairs, defence etc	federal reserve::（美国）联邦储备系统¦federal government::联邦政府¦federal law::联邦法律¦federal funds::联邦资金¦federal court::联邦法院¦federal budget::联邦预算¦federal reserve board::（美国）联邦储备金监察小组¦federal communications commission::联邦通信委员会¦federal reserve bank::（美）联邦储备银行¦federal agency::联邦机构；联邦政府机构¦federal bureau of investigation::n. （美）联邦调查局¦federal funds rate::联邦基金利率¦federal deposit insurance corporation::美国联邦存款保险公司¦federal trade commission::联邦贸易委员会，联邦商务委员会（FTC）¦federal republic of germany::德意志联邦共和国¦federal reserve system::（美）联邦准备制度¦federal tax::（美）联邦税¦federal aviation administration::[运输工程]联邦航空管理局¦federal district::联邦特区（联邦政府所在地区，等于Federal District）¦federal express::联邦快递，美国联邦快递公司	Switzerland is a federal republic.::瑞士是一个联邦共和国。	adj::联邦的；同盟的::confederal, fed.	adj::federalist:: （支持）联邦党人的；联邦制的¦adj::federate:: 同盟的；联邦制度下的；联合的¦adj::federated:: 联邦的；联合的；结成同盟的¦adv::federally:: 联邦地；联邦政府地；同盟地¦n::federation:: 联合；联邦；联盟；联邦政府¦n::federalism:: 联邦制；联邦主义¦n::federalist:: 联邦党；联邦制拥护者；支持北部联邦者¦n::federalization:: 联邦化；同盟¦v::federated:: 结成同盟；按联邦制组织起来（federate的过去分词）¦vi::federate:: 结成联邦¦vt::federate:: 使结成同盟；使结成联邦¦vt::federalize:: 使同盟；使成联邦					
generations	,dʒɛnə'reʃən	ˌdʒenəˈreɪʃnz	n::数代人::A generation is all the people in a group or country who are of a similar age, especially when they are considered as having the same experiences or attitudes	alternation of generations::世代交替	...the younger generation of party members.::…较年轻一代的党员。							
grit	ɡrɪt	grɪt	n::毅力::determination and courage	grit chamber::沉砂池¦steel grit::钢砂；钢丸；钢粒	If they gave gold medals for grit, Karen would be right up there on the winners' podium.::如果他们颁发毅力金牌，卡伦应该站在领奖台上。	vt::研磨；在…上铺砂砾::pulverize, mull¦n::[岩][地质]粗砂，砂砾::coarse sand, arenes	adj::gritty:: 坚韧不拔的；有砂砾的；多沙的；像砂的					
gritty	'grɪti	ˈgrɪti	adj::勇敢的，坚毅的::showing determination and courage		Henin gave a typically gritty performance, coming back from 4-0 down.::海宁表现出一贯的坚毅，把零比四落后的比分扳回。¦her gritty determination::她那坚定的决心	adj::坚韧不拔的；有砂砾的；多沙的；像砂的::sandy, arenaceous	n::grit:: 粗砂，砂砾¦vi::grit:: 摩擦作声¦vt::grit:: 研磨；在…上铺砂砾					
gutter	'gʌtɚ	ˈgʌtə(r)	n::（路边）排水沟::the low part at the edge of a road where water collects and flows away	in the gutter::[美国俚语]	The gutters were blocked and overflowing.::排水沟堵住了，水都溢出来了。	n::[建]排水沟；槽；贫民区::drainage ditch, barrel-drain¦vi::流；形成沟::stream¦vt::开沟于…；弄熄::douse¦adj::贫贱的；粗俗的；耸人听闻的::low, coarse	n::guttersnipe:: 流浪儿；贫民窟的小孩					
hippie	'hɪpi	ˈhɪpi	n::嬉皮士::someone, especially in the 1960s, who opposed violence peacefully and often wore unusual clothes, had long hair, and took drugs for pleasure		He was a hippie: who else drops out of Reed?::他曾是个嬉皮士：不然谁会从里德学院退学？¦The truth is, if one probes just beneath the surface of the bucolic hippie image, one finds a puzzling infatuation with certain forms of outrè technology reaching well back into the early sixties.::事实是，如果我们深入乡野嬉皮士形象的表面之下，便可以发现他们有一种令人费解的、对某些奇怪技术的迷恋，这种迷恋最早始于六十年代初期。¦Clean-cut and favoring a coat and tie these days, he described himself as a ragged “hippie” during his time in Europe.::现在的他轮廓清秀，喜欢穿西服打领带，而在欧洲时，他形容自己是个衣衫褴褛的“嬉皮士”。	n::嬉皮士；嬉皮模样的年青人::flower people	n::hippy:: 嬉皮士					
immortality	,ɪmɔr'tæləti	ˌɪmɔ:ˈtæləti	n::永生，不朽::the state of living for ever or being remembered for ever		the immortality of the soul::灵魂的不朽	n::不朽；不朽的声名；不灭::eternity, perpetuation	adj::immortal:: 不朽的；神仙的；长生的¦n::immortal:: 神仙；不朽人物¦vt::immortalize:: 使不灭；使名垂千古，使不朽¦vt::immortalise:: 使不灭；使不朽					
indolence	'ɪndələns	'ɪndələns	n::懒惰；懒散::Indolence means laziness		As the Cultural relics department warned, the security technology employed in the museum was seamless, so the major fault lay in the security guards’ irresponsibility and indolence.::正如文物部门警告，目前博物馆安保技术已无懈可击，但最大的漏洞在于人员的意识和责任心，懒惰成性。¦I have seen this happen. Just last week my minor crimes of indolence cost two companies about eighty man-hours.::我见过这样的事，就在上周，我的懒惰导致两家公司多花费了八十工时。	n::懒散，懒惰；无痛::idleness, lassitude	adj::indolent:: 懒惰的；无痛的¦adv::indolently:: 怠惰地；不痛地					
insecure	,ɪnsɪ'kjʊr	ˌɪnsɪˈkjʊə(r)	adj::不安全的::a job, investment etc that is insecure does not give you a feeling of safety, because it might be taken away or lost at any time		Many of them work in low-paid insecure jobs.::他们当中的许多人都做着薪水低、不稳定的工作。	adj::不安全的；不稳定的；不牢靠的::unstable, unsafe	adv::insecurely:: 不安全地；不可靠地¦n::insecurity:: 不安全；不牢靠；无把握；心神不定					
insure	ɪn'ʃʊr	ɪnˈʃʊə(r)	v::为...上保险::to buy insurance so that you will receive money if something bad happens to you, your family, your possessions etc	insure against::v. 给……保险以防	Have you insured the contents of your home?::你给家庭财产投保了吗？	vt::确保，保证；给…保险::undertake, assure¦vi::确保；投保::to ensure, snake stare	adj::insured:: 已投保的¦adj::insurable:: 可保险的，适合保险的¦n::insurance:: 保险；保险费；保险契约；赔偿金¦n::insured:: 被保险人¦n::insurer:: 保险公司；承保人¦n::insurability:: [保险] 可保险性¦v::insured:: 确保；给…保险（insure的过去式和过去分词）					
loan	lon	ləʊn	n::贷款::	on loan::借用；借贷；借调¦bank loan::银行贷款¦mortgage loan::按揭贷款；抵押借款¦loan interest::贷款利息¦student loan::助学贷款¦loan contract::贷款合同¦loan guarantee::贷款担保，借款保证函¦loan period::借期，借书期限；租借期限¦personal loan::n. 个人贷款¦loan repayment::归还贷款，偿还借款¦housing mortgage loan::住房抵押贷款¦loan agreement::贷款协议；借款合同¦interlibrary loan::馆际互借；馆际合作¦loan application::贷款申请¦bad loan::呆帐，坏帐；迟还贷款¦syndicated loan::[经]财团放款¦loan officer::信贷员；贷款人员；信贷主管¦commercial loan::商业贷款¦credit loan::信用贷款¦non-performing loan::不良贷款，不履约贷款；非营运贷款	We obtained a loan from the government.::我们得了一笔政府贷款。¦If you ask him for a loan, he'll come through.::如果你向他贷款，他会满足你的要求的。¦The company won't keep going unless we can get some loan.::除非我们能搞到贷款，否则公司就维持不下去了。	n::[金融]贷款；借款::debt, credit, borrowing¦vt::借；借给::borrow, lend to						
makeshift	'mek'ʃɪft	ˈmeɪkʃɪft	adj::临时替代的； 权宜的::made to be used for a short time only when nothing better is available		The refugees slept in makeshift tents at the side of the road.::逃难者睡在路边临时搭建的帐篷里。	n::权宜之计；凑合；临时措施；将就::quick fix, provisional measure¦adj::临时的；权宜之计的；凑合的::temporary, extraordinary, odd, occasional						
malnourished	,mæl'nɝɪʃt	ˌmælˈnʌrɪʃt	adj::营养不良的::someone who is malnourished is ill or weak because they have not had enough good food to eat		malnourished children::营养不良的儿童	adj::营养不良的；营养失调的::ill-fed, dystrophic	n::malnutrition:: 营养失调，营养不良					
manifest	'mænɪfɛst	ˈmænɪfest	v::显示，表明::to show a feeling, attitude etc	manifest destiny::天定命运¦assembly manifest::[计]程序集清单；装配件清单	The shareholders have manifested their intention to sell the shares.::股东们表明了要出售股票的意图。	vt::证明，表明；显示::indicate, prove, demonstrate, reveal, make clear¦vi::显示，出现::occur, make clear, figure, offer, come out¦n::[贸易]载货单，货单；旅客名单::passenger list¦adj::显然的，明显的；明白的::apparent, obvious, distinct, transparent, decided	adv::manifestly:: 显然地；明白地¦n::manifestation:: 表现；显示；示威运动					
manipulate	mə'nɪpjulet	məˈnɪpjuleɪt	v::操纵；巧妙地处理::to make someone think and behave exactly as you want them to, by skilfully deceiving or influencing them	manipulate data::操作数据	He was one of those men who manipulated people.::他是那种要摆布别人的人。¦You have the constant feeling you are being manipulated.::你总感觉自己是被人控制着的。	vt::操纵；操作；巧妙地处理；篡改::man, guide, work, handle	adj::manipulative:: 巧妙处理的；操纵的，用手控制的¦adj::manned:: 有人驾驶的；有人操纵的；配备齐船员的¦adj::manipulable:: 可操纵自如的；可以操作的¦n::manipulation:: 操纵；操作；处理；篡改¦n::manipulability:: 可操纵性¦v::manned:: 给…配备人员（man的过去分词）					
Mistletoe	'mɪslto	ˈmɪsltəʊ	n::槲寄生::Mistletoe is a plant with pale berries that grows on the branches of some trees. Mistletoe is used in the United States as a Christmas decoration, and people often kiss under it. 			n::[中医]槲寄生（一种常用作圣诞节室内悬挂的植物）::viscum						
muddy	'mʌdi	ˈmʌdi	adj::泥泞的::covered with mud or containing mud	muddy water::浑水；泥土水	Take your boots off outside if they’re muddy.::要是靴子上都是泥，你就脱在门外吧。¦the muddy waters of the lake::浑浊的湖水	adj::泥泞的；模糊的；混乱的::fuzzy, dark, chaotic, troubled, vague¦vt::使污浊；使沾上泥；把…弄糊涂::bedrabble	adj::muddled:: 糊涂的；混乱的；头脑昏昏然的¦adj::muddleheaded:: 头脑糊涂的；混乱的¦n::mud:: 泥；诽谤的话；无价值的东西¦n::muddle:: 糊涂；困惑；混浊状态¦n::mudder:: 善于在泥地上跑的马¦n::muddiness:: 泥污；混浊不清¦v::muddled:: 使一团糟（muddle的过去分词）¦vi::mud:: 钻入泥中¦vi::muddle:: 胡乱思考；糊里糊涂地行事¦vt::mud:: 弄脏；用泥涂¦vt::muddle:: 混合；使咬字不清晰；使微醉					
mythology	mɪ'θɑlədʒi	mɪˈθɒlədʒi	n::神话学::set of ancient myths		characters from classical mythology::古典神话中的人物	n::神话；神话学；神话集::fairy story, fairy tales	adj::mythical:: 神话的；虚构的¦adj::mythological:: 神话的；神话学的；虚构的¦adj::mythic:: 神话的；虚构的¦n::myth:: 神话；虚构的人，虚构的事¦n::mythologist:: 神话学者；神话作者¦vt::mythicize:: 视为神话；解释为神话¦vt::mythologize:: 写神话；当做神话；把……解释为神话					
neglect	nɪ'glɛkt	nɪˈglekt	v::忽略::to fail to look after someone or something properly	neglect of::疏忽¦neglect of duty::玩忽职守；[法]失职；过失责任	She smoked and drank, neglected the children, and left the clothes unmended.::她抽烟喝酒，既不照顾孩子，也不缝补衣服。¦a neglected garden::疏于打理的花园¦The building has been badly neglected.::这栋大楼严重疏于维护。	vt::疏忽，忽视；忽略::ignore, be forgetful of¦n::疏忽，忽视；怠慢::omission, oversight	adj::negligible:: 微不足道的，可以忽略的¦adj::neglected:: 被忽视的；未被好好照管的¦adj::negligent:: 疏忽的；粗心大意的¦adj::neglectful:: 疏忽的；忽略的；不小心的¦adv::negligently:: 疏忽地；粗心大意地¦adv::neglectfully:: 怠慢地；不注意地¦n::negligence:: 疏忽；忽视；粗心大意¦v::neglected:: 忽视；疏忽（neglect的过去分词）					
