ability	ə'bɪləti	ə'bɪlɪtɪ	n::能力，能耐；才能::the state of being able to do something	innovation ability::创新能力¦ability for::在…的能力¦learning ability::学习能力¦practical ability::实践能力；实际能力¦technical ability::技术能力¦reading ability::阅读能力¦management ability::管理能力¦writing ability::写作能力；书写能力¦working ability::工作能力，加工能力¦physical ability::体能，体质能力；身体能力¦cognitive ability::认知能力¦service ability::工作能力¦ability to pay::支付能力¦combining ability::配合力¦develop ability::发挥才能¦executive ability::执行力；行政能力¦natural ability::本能¦administrative ability::行政能力；经营才能¦unique ability::独有能力¦adaptive ability::自适应能力	The test measures your mathematical ability.::这种测试考查的是数学能力。	n::能力，能耐；才能::capacity, competence, talent, quality, power			 来自able(adj. 能够…的)			
across	ə'krɔs	ə'krɒs	prep::穿过；横穿::¦adv::横过；在对面::on the opposite side of something	across the board::全面地；包括一切地；以三等分的钱数赌同一匹马赢得前三名¦across from::在…对面¦go across::穿过，横过；走过¦back across::后背宽	We can gain some time if we cut across this field.::我们如果抄近路穿过这片田野可以省下一些时间。	prep::穿过；横穿::through¦adv::横过；在对面::opposite			 a(表加强)+cross(横过)→横过			
act	ækt	ækt	v::扮演；装作，举动像::to perform in a play or film¦n::行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势::one thing that you do	act as::担当¦act on::对…起作用；按照…行事¦act in::扮演；在…方面行动¦act like::举止像...¦act for::v. 代理¦in act::[古语]即将，正要(与to和不定式连用)¦speech act::言语行为¦act out::把…表演出来；把…付诸行动¦act with::以…方式行事¦act upon::对…起作用；按照…行事¦act against::vt. 违反¦in the act of::正在做…时¦legal act::法律行为¦education act::教育法¦juristic act::法律行为；法律行律¦criminal act::罪行，犯罪行为¦act of god::天灾；不可抗力¦act accordingly::核办¦balancing act::平衡做法；协调¦illegal act::不法行为，非法行为	I first started acting when I was 12 years old.::我12岁开始演戏。¦The movie is very well acted.::这部影片演得非常好。	vt::扮演；装作，举动像::play, take a part of¦vi::行动；扮演，充当；表现，举止；假装，演戏；起作用，见效::operate, bear oneself, conduct oneself¦n::行为，行动；[法]法令，法案；（戏剧，歌剧的）一幕，段；装腔作势::behavior, dealing, action, going, bill	adj::active:: 积极的；活跃的；主动的；有效的；现役的¦adj::acting:: 代理的；装腔作势的¦adj::activated:: 活性化的；活泼的¦adj::actable:: 能演出的；能实行的¦adj::actinic:: 化学线作用的；化学线的¦n::active:: 主动语态；积极分子¦n::action:: 行动；活动；功能；战斗；情节¦n::activity:: 活动；行动；活跃¦n::actor:: 男演员；行动者；作用物¦n::actress:: 女演员¦n::activation:: [电子][物] 激活；活化作用¦n::acting:: 演技；演戏；假装¦n::activism:: 行动主义；激进主义¦n::actinism:: 光化性，[光] 光化度；[化学] 光化作用¦n::activeness:: 主观能动性；活动积极性¦v::activated:: 使激活；使活动起来；有生气（activate的过去分词）¦vi::activate:: 激活；有活力¦vt::activate:: 刺激；使活动；使活泼；使产生放射性		 做事(act)要实事(fact)求是			
action	'ækʃən	'ækʃ(ə)n	n::行动；活动；功能；战斗；情节::the process of doing something, especially in order to achieve a particular thing	take action::采取行动；提出诉讼¦action on::对…的作用¦in action::在活动；在运转¦action plan::行动计划；行动方案¦mechanism of action::作用机制；作用机理¦course of action::做法；行动步骤¦legal action::法律诉讼¦action research::行动研究；行为研究；动作研究¦civil action::n. 民事诉讼¦pharmacological action::药理作用¦corrective action::n. 校正动作¦administrative action::行政诉讼；行政裁定¦joint action::联合行动；[机]接合动作；接合作用¦collective action::集体行动；集体行为¦combined action::共同作用；联合行动；复合作用¦direct action::直接行动；直接作用¦action potential::动作电位；动诅位¦out of action::损坏；不运转；失去作用¦control action::控制作用；控制动作¦disciplinary action::纪律处分；训练活动	The government must take action (=  do something  ) now to stop the rise in violent crime.::政府现在必须采取行动遏止暴力犯罪的上升。¦She was looking forward to putting her ideas into action (=  doing the things she had planned  ) .::她盼望着将自己的想法付诸实施。¦Ambulance crews are ready to spring into action (=  suddenly start doing something  ) if anything goes wrong during the race.::救护车急救人员随时准备出动，以应对比赛期间发生的意外。	n::行动；活动；功能；战斗；情节::movement, function, doing, campaign, working	adj::active:: 积极的；活跃的；主动的；有效的；现役的¦adj::activated:: 活性化的；活泼的¦adj::actable:: 能演出的；能实行的¦adv::actively:: 积极地；活跃地¦n::active:: 主动语态；积极分子¦n::activity:: 活动；行动；活跃¦n::act:: 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势¦n::actor:: 男演员；行动者；作用物¦n::activation:: [电子][物] 激活；活化作用¦n::activism:: 行动主义；激进主义¦n::activator:: 催化剂；[助剂] 活化剂；[助剂] 激活剂；触媒剂¦n::activeness:: 主观能动性；活动积极性¦v::activated:: 使激活；使活动起来；有生气（activate的过去分词）¦vi::act:: 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效¦vi::activate:: 激活；有活力¦vt::act:: 扮演；装作，举动像¦vt::activate:: 刺激；使活动；使活泼；使产生放射性					
active	'æktɪv	'æktɪv	adj::积极的；活跃的；主动的；有效的；现役的::always busy doing things, especially physical or mental activities¦n::主动语态；积极分子::the active form of a verb, for example ‘destroyed’ in the sentence ‘Enemy planes destroyed the village.’	active in::积极于¦active role::积极任务；活跃角色¦active part::积极的作用；能动部分，主动部分¦active power::有功（有效）功率¦active carbon::活性炭；活性炭黑¦surface active::表面活性的¦active ingredient::有效成分；活性组分¦active participation::主动参与；积极参加¦active agent::活性剂¦active component::活性组分；有效元件；作用分量¦surface active agent::表面活性剂¦active service::现役¦active oxygen::活性氧¦active fault::活动断裂；活性断层¦active learning::主动学习；积极学习¦active substance::活性物质；放射性物质；有效物质¦active suspension::主动制导悬架系统（一种由计算机控制的机动车悬架系统）¦active material::[核物]活性物质，放射性材料¦active network::有源网络¦active member::积极成员；活跃会员	games for active youngsters::活跃好动的年轻人玩的游戏¦She’s over 80, but is still very active.::她80多岁了，但仍旧很活跃。	adj::积极的；[物化]活跃的；主动的；[电子]有效的；现役的::positive, valid, available, effective, virtual¦n::主动语态；积极分子::rustler	adj::activated:: 活性化的；活泼的¦adv::actively:: 积极地；活跃地¦n::action:: 行动；活动；功能；战斗；情节¦n::activity:: 活动；行动；活跃¦n::act:: 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势¦n::actor:: 男演员；行动者；作用物¦n::activation:: [电子][物] 激活；活化作用¦n::activist:: 积极分子；激进主义分子¦n::activism:: 行动主义；激进主义¦n::activator:: 催化剂；[助剂] 活化剂；[助剂] 激活剂；触媒剂¦n::activeness:: 主观能动性；活动积极性¦n::activewear:: 运动服（等于active wear）¦v::activated:: 使激活；使活动起来；有生气（activate的过去分词）¦vi::act:: 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效¦vi::activate:: 激活；有活力¦vt::act:: 扮演；装作，举动像¦vt::activate:: 刺激；使活动；使活泼；使产生放射性		 act(行动)+ive(形容词后缀)→积极行动→积极的			
activity	æk'tɪviti	æk'tɪvɪtɪ	n::活动；行动；活跃::things that people do, especially in order to achieve a particular aim	economic activity::经济活动¦catalytic activity::催化活性¦physical activity::身体活动，体育活动；体力活动¦biological activity::生物活性¦enzyme activity::酶活力¦business activity::商业活动，经济活动；业务活动¦social activity::社会行动¦brain activity::大脑活动¦sexual activity::性活动；性行为¦seismic activity::地震活动；地震活动性¦antimicrobial activity::抗菌活性；抗菌能力；抗微生物活性¦volcanic activity::火山活动；火山活动性¦electrical activity::电活动，脑电活动¦enzymatic activity::酶活性；酶活力¦practical activity::实践活动¦solar activity::太阳活动；太阳活动性¦water activity::水分活度；水分活性¦marketing activity::销售活动¦outdoor activity::户外活动，室外活动¦activity level::活动级；活动程度	Everyone is free to engage in peaceful political activity.::每个人都可以自由参加和平的政治活动。¦fund-raising activities::筹款活动¦Regular physical activity helps to control your weight.::定期参加体育活动有助于控制体重。	n::活动；行动；活跃::movement, doing, campaign, working, act	adj::active:: 积极的；活跃的；主动的；有效的；现役的¦adj::activated:: 活性化的；活泼的¦adj::actable:: 能演出的；能实行的¦adv::actively:: 积极地；活跃地¦n::active:: 主动语态；积极分子¦n::action:: 行动；活动；功能；战斗；情节¦n::act:: 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势¦n::actor:: 男演员；行动者；作用物¦n::activation:: [电子][物] 激活；活化作用¦n::activism:: 行动主义；激进主义¦n::activator:: 催化剂；[助剂] 活化剂；[助剂] 激活剂；触媒剂¦n::activeness:: 主观能动性；活动积极性¦v::activated:: 使激活；使活动起来；有生气（activate的过去分词）¦vi::act:: 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效¦vi::activate:: 激活；有活力¦vt::act:: 扮演；装作，举动像¦vt::activate:: 刺激；使活动；使活泼；使产生放射性		 act(活动)+ivity(名词后缀)→活动			
add	æd	æd	v::加；增加；加起来；做加法::to put something with something else or with a group of other things¦n::加法，加法运算::	add up::v. 合计¦add in::添加；把…包括在内¦add value::增加价值；附加价值；添加值¦add on::插入；另外加上去¦add noise::添加杂色；添加噪声¦add weight to::进一步证明；扩大影响；增强优势；加重	If the mixture seems dry, add water.::如果混合物看上去干，加点水。	vi::[数]加；增加；加起来；做加法::improve, gain, accelerate¦vt::增加，添加；补充说；计算…总和::enhance, boost, jack, mount, hot¦n::加法，加法运算::addition	adj::additional:: 附加的，额外的¦adj::additive:: 附加的；[数] 加法的¦adj::addable:: 可增加的¦adj::addible:: 可增加的，可添加的¦adv::additionally:: 此外；又，加之¦n::addition:: 添加；[数] 加法；增加物¦n::additive:: 添加剂，添加物¦n::adder:: 蝰蛇（欧洲产的小毒蛇）；加算器；猪鼻蛇（北美产无毒的）					
address	ə'drɛs	ə'dres	v::演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理::if you address an envelope, package etc, you write on it the name and address of the person you are sending it to¦n::地址；演讲；致辞；说话的技巧；称呼::a formal speech that someone makes to a group of people	email address::电子邮箱信箱¦ip address::网络地址，IP地址¦address book::通讯簿；住址名册¦home address::家庭住址；标识地址；内部地址¦mailing address::邮寄地址¦network address::网络地址¦address space::地址空间¦address as::称呼¦e-mail address::电子邮件地址¦public address::公用地址；扩音装置¦address system::地址系统；称谓系统¦inaugural address::就职演说¦address translation::地址转换；位址翻译¦public address system::扩声系统；有线广播系统；公用地址系统¦correspondence address::通讯地址；通信地址¦specific address::专用地址¦full address::全地址¦physical address::物理地址；实际地址¦permanent address::永久地址；永久住址；原籍¦mail address::邮件地址；信件地址	Send a stamped, self-addressed envelope (=  with your address on it so it can be sent back to you  ) .::寄上一个贴好邮票的、写有回邮地址的信封。	vt::演说；从事；忙于；写姓名地址；向…致辞::undertake, pursue, have¦n::[计]地址；演讲；致辞；说话的技巧::speech, lecture, talk	adj::addressable:: （电脑）[计] 可寻址的¦n::addressee:: 收件人，收信人；[计] 被访地址¦n::addresser:: 发件人；发信人；发言人¦n::addressograph:: 邮件地址印刷机；印名片机		 地址(address)出错， 衣服(dress)没收到			
advertisement	,ædvɚ'taɪzmənt	əd'vɜːtɪzm(ə)nt; -tɪs-	n::广告，宣传::a picture, set of words, or a short film, which is intended to persuade people to buy a product or use a service, or that gives information about a job that is available, an event that is going to happen etc	advertisement company::广告公司¦commercial advertisement::商业广告¦advertisement plan::广告策划¦classified advertisement::分类广告	They put an advertisement in ‘The Morning News’, offering a high salary for the right person.::他们在《晨报》上刊登了一则启事，出高薪寻找合适的人选。¦The organizers of the concert had taken out a full page advertisement in ‘The New York Times’.::音乐会筹办者在《纽约时报》上刊登了整版广告。¦Only a handful of people answered the advertisement .::只有寥寥数人对该广告作出了回应。	n::[经]广告，宣传::publicity, bill, propaganda, dissemination, drumbeating	adj::advertising:: 广告的；广告业的¦adj::advertised:: 广告的¦adj::advertizing:: 广告的；广告业务的¦n::advertising:: 广告；广告业；登广告¦n::advert:: 广告¦n::advertiser:: 广告客户；刊登广告的人¦n::advertorial:: 社论式广告（指常作为杂志中心插页的正式广告文字）¦n::advertizer:: 广告客户；广告者¦n::advertizing:: 广告，广告活动；广告业¦v::advertising:: 公告；为…做广告（advertise的ing形式）¦v::advertizing:: 登广告（advertize的ing形式）¦vi::advertise:: 做广告，登广告；作宣传¦vi::advert:: 注意；谈到¦vi::advertised:: 登广告（advertise的过去式和过去分词）¦vi::advertize:: 做广告¦vt::advertise:: 通知；为…做广告；使突出¦vt::advertize:: 做广告，登广告；通知					
advice	ædˈvaɪs; əd'vaɪs	əd'vaɪs	n::建议；忠告；劝告；通知::an opinion you give someone about what they should do	seek advice::征求意见；请教¦good advice::好建议¦give advice::劝告，忠告¦legal advice::法律意见；[法]法律谘询¦expert advice::专家意见¦medical advice::医嘱；医务¦shipping advice::发货通知书¦take advice::请教；征求意见¦sound advice::忠告¦advice note::通知书，通知单¦take the advice::采纳建议；听从劝告¦advice of shipment::装船通知；装运通知；船运通知¦advice of credit::信用状通知书	You should have followed my advice.::你真该听我的建议。	n::建议；忠告；劝告；通知::suggestion, proposal, information, instance, notice					We need to come up with a/an ______ and make a decision at once. ::3::1)information 2)advice 3)idea 4)news::译文： 我们需要提出建议， 然后立刻作出决定。 本题考查名词的单复数。在以上四个选项中， information, advice和news都是不可数名词， 前面不能直接加a/an修饰， 但可以说a piece of news/information/advice。只有idea是可数名词， 前面可以直接加冠词an， 	
advise	əd'vaɪz	əd'vaɪz	v::建议；劝告，忠告；通知；警告::to tell someone what you think they should do, especially when you know more than they do about something	please advise::请指导；请指示¦advise of::通知	She needed someone to advise her.::她需要有个人给她出主意。¦‘Make sure that you keep the documents in a safe place,’ Otley advised him.::“一定要把文件放在安全的地方。”奥特利向他建议道。	vt::建议；劝告，忠告；通知；警告::alarm, message¦vi::建议；与…商量::agree to sb, make suggestions	adj::advisory:: 咨询的；顾问的；劝告的¦adj::advised:: 考虑过的；细想过的¦n::advisor:: 顾问；指导教师；劝告者¦n::advisory:: 报告；公告¦n::adviser:: 顾问；劝告者；指导教师（等于advisor）¦n::advisement:: 深思熟虑；劝告；（美）磋商¦n::advisee:: （美）受教授指导选课的学生；受到建议的人¦v::advised:: 建议（advise的过去分词）；劝告					
afford	ə'fɔrd	ə'fɔːd	v::给予，提供；买得起::to provide something or allow something to happen¦n::(Afford)人名；(英)阿福德::	can afford::买得起；有能力负担	The room affords a beautiful view over the city.::这房间可以俯瞰城市美景。¦The new law will afford protection to employees.::新法律将为雇员提供保障。	vt::给予，提供；买得起::allow, deal, extend, deliver, tender	adj::affordable:: 负担得起的		 af+ford(福特汽车)→能买一辆福特汽车→买得起		This type of MP4 is my favorite, but I can't ______ it. ::4::1)spend 2)cost 3)pay 4)afford::译文： 这款MP4是我最喜欢的， 但是我买不起。本题考查近义词的辨析。spend常和介词on连用， 表示“在…上花多少钱或时间”； cost的主语是物； pay不能直接接物， 而要说pay for sth. 。afford常用于否定句中， 表示“负担不起”， 因此选D。	
afraid	ə'fred	ə'freɪd	adj::害怕的；恐怕；担心的::frightened because you think that you may get hurt or that something bad may happen	afraid of::害怕¦i'm afraid::我害怕；恐怕	There’s no need to be afraid.::没有必要害怕。	adj::害怕的；恐怕；担心的::worried, scared		self				
after	'æftɚ	'ɑːftə	adv::后来，以后::After is also an adverb¦prep::在……之后::when a particular event or time has happened, or when someone has done something¦conj::在……之后::¦adj::以后的::in the years after the time that has been mentioned	after all::毕竟；终究¦go after::追求，追逐¦ever after::从此以后一直¦after hours::adv. 下班；工作完毕后	Tomorrow. Or the day after.::明天。或者后天。	adv::后来，以后::since, subsequently¦prep::在……之后::in the back of¦adj::以后的::succeeding	adj::aftermost:: 最后的；最后部的；最靠近船尾的¦adv::afterward:: 以后，后来					
afternoon	,æftɚ'nun	ɑːftə'nuːn	n::午后，下午::the part of the day after the morning and before the evening	in the afternoon::adv. 在下午¦good afternoon::int. 下午好¦tomorrow afternoon::明天下午¦every afternoon::每天下午¦afternoon tea::下午茶¦on sunday afternoon::在星期天下午¦afternoon off::下午请假；下午放假¦lazy afternoon::闲散午后¦of an afternoon::[用于修饰经常性动作]往往(或常常)在下午	There’s a meeting on Thursday afternoon .::星期四下午有个会议。¦It was very hot in the afternoon .::下午很热。¦See you tomorrow afternoon .::明天下午见。¦Are you going into town this afternoon ?::今天下午你进城去吗？¦We met in the early afternoon .::下午较早的时候我们见了面。¦By late afternoon , Micky had changed his mind.::到了傍晚，米基已改变了主意。¦He was having his afternoon nap .::他在睡午觉。	n::午后，下午::post meridian, arvo			 after(在…之后)+noon(正午)→正午之后→下午			
again	ə'ɡɛn	ə'gen; ə'geɪn	adv::又，此外；再一次；再说；增加::one more time – used when something has happened or been done before¦n::（英、保）阿盖恩::	again and again::adv. 再三地，反复地¦try again::再来一次¦over again::再一次¦come again::回来；重新赶上去；回去¦over and over again::adv. 一再地；反复不断地¦never again::拒绝再玩，不再；再也不会¦time and again::adv. 屡次；常常¦rise again::死而复生¦yet again::再一次¦on again::易变化的；不肯定的¦begin again::重新开始；重做¦time and time again::一次又一次；多次，不断地¦start all over again::从头再来¦but then again::但在那时；话说回来¦now and again::adv. 不时；时而¦breathe again::宽心；再次呼吸¦please say it again::请再说一遍¦start over again::从头开始¦every now and again::偶尔，有时¦give again::归还	Can you say that again? I didn’t hear.::你能再说一遍吗？ 我没听见。¦I’ll never go there again.::我再也不会去那儿了。¦Mr Khan’s busy. Can you try again later?::卡恩先生正忙着。 你能不能过一会儿再打来？¦In 1997, the family moved house yet again.::1997年，全家人再一次搬家。¦Once again, Drew was under arrest.::德鲁再一次被拘捕。	adv::又，此外；再一次::moreover, besides, additionally, then, both						
