abandonment	ə'bændənmənt	əˈbændənmənt	n::放弃::The abandonment of a place, thing, or person is the act of leaving it permanently or for a long time, especially when you should not do so		...memories of her father's complete abandonment of her.::…她父亲对她的彻底抛弃的那些记忆。	n::[法]抛弃；放纵::rejection, loose	adj::abandoned:: 被抛弃的；无约束的；恣意放荡的；寡廉鲜耻的¦n::abandon:: 狂热；放任¦v::abandoned:: 抛弃（abandon的过去式和过去分词）¦vt::abandon:: 遗弃；放弃					
accustom	ə'kʌstəm	ə'kʌstəm	v::使习惯::to make yourself or another person become used to a situation or place		She tried to accustom herself to the tight bandages.::她尝试着使自己习惯那些紧绷的绷带。	vt::使习惯于::habituate	adj::accustomed:: 习惯的；通常的；独有的¦v::accustomed:: 使习惯于（accustom的过去分词）					
achieve	ə'tʃiv	ə'tʃi:v	v::达到，实现::to successfully complete something or get a good result, especially by working hard	achieve success::取得成功；获得成功¦achieve one's goals::实现目标	Frances achieved very good exam results.::弗朗西丝考试取得了优异成绩。¦Wilson has achieved considerable success as an artist.::威尔逊作为一名艺术家成就斐然。¦She eventually achieved her goal of becoming a professor.::她终于实现目标，当上了教授。	vt::达到；完成::accomplish, carry out, perform, complete, fulfil¦vi::达到目的；如愿以偿::gain one's ends, Make it.	adj::achievable:: 可完成的；可有成就的；做得成的¦n::achievement:: 成就；完成；达到			...Only in this way can we achieve greater success...::2017.6/CET6/写作题/第一套¦...relying instead on artificial imitations to achieve the flavour...::2017.12/CET6/阅读理解/第一套¦...We have to basically achieve there the commitment to deal with the problem now...::2016.6/CET6/听力题/第二套¦...There must urgently be a meaningful mobilisation of the policies outlined in the agreement if we are to achieve national emissions reductions while helping the most vulnerable countries adapt to climate change...::2016.12/CET6/阅读理解/第二套¦...Being curious will help us achieve success sooner or later...::2015.6/CET6/写作题/第二套¦...It was curiosity that made him invent so many things and achieve great success in his career...::2015.6/CET6/写作题/第二套¦...What may surprise us is that most people achieve success by doing small things in a great way...::2015.6/CET6/写作题/第三套¦...which to me meant that attempts to achieve an unattainable ideal can prevent us from reaching good outcomes that are possible in practice...::2014.6/CET6/阅读理解/第三套¦...IDPs have long been used by government agencies and the private sector to achieve specific goals for the employee and the organization...::2013.12/CET6/阅读理解/第二套¦...the more we will actually achieve it...::2013.12/CET6/阅读理解/第一套¦...and achieve their long-term career goals...::2013.12/CET6/阅读理解/第二套¦...but we may achieve happiness through striving...::2013.12/CET6/写作题/第一套¦...to achieve those goals...::2012.6/CET6/阅读理解/¦...That presents a paradox: many economists argue that the economy cannot achieve true health until debt levels decline...::2012.12/CET6/阅读理解/第二套¦...you will feel that it is easier to achieve your goals...::2011.12/CET6/写作题/¦...To achieve a desired vision for your business...::2011.12/CET6/阅读理解/¦...it is a state of confidence after we achieve our ideals So all of us will try our best to get success...::2011.12/CET6/写作题/		
acquaintance	ə'kwentəns	ə'kweɪntəns	n::熟人::someone you know, but who is not a close friend	acquaintance with::相识¦acquaintance with someone::对某人的相识，熟¦nodding acquaintance::相识不深的人；不完整或肤浅的知识¦make the acquaintance of::vt. 和…相识，结识	She was a casual acquaintance of my family in Vienna.::她是我们家在维也纳的一个交情不深的朋友。¦He heard about the job through a mutual acquaintance (=  someone you and another person both know  ) .::他是通过一个双方都认识的人知道有这份工作的。	n::熟人；相识；了解；知道::knowledge, awareness	adj::acquainted:: 熟识的；知晓的；有知识的¦n::acquaintanceship:: 认识；相识；交往关系¦v::acquainted:: 使了解（acquaint的过去分词）¦vt::acquaint:: 使熟悉；使认识		 ac ＋ quaint(知道) ＋ ance → 了解			
activate	'æktə'vet	'æktɪveɪt	v::激活::to make an electrical system or chemical process start working		Cooking fumes may activate the alarm.::烹调时的油烟可能会触发警报器。¦The yeast’s growth is activated by sugar and warmth.::糖分和温暖的环境会激发酵母菌的生长。	vt::刺激；使活动；使活泼；使产生放射性::stimulate, fan, motivate, needle	adj::active:: 积极的；活跃的；主动的；有效的；现役的¦adj::activated:: 活性化的；活泼的¦adv::actively:: 积极地；活跃地¦n::active:: 主动语态；积极分子¦n::action:: 行动；活动；功能；战斗；情节¦n::activity:: 活动；行动；活跃¦n::act:: 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势¦n::actor:: 男演员；行动者；作用物¦n::activation:: [电子][物] 激活；活化作用¦n::activist:: 积极分子；激进主义分子¦n::activism:: 行动主义；激进主义¦n::activator:: 催化剂；[助剂] 活化剂；[助剂] 激活剂；触媒剂¦n::activeness:: 主观能动性；活动积极性¦v::activated:: 使激活；使活动起来；有生气（activate的过去分词）¦vi::act:: 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效¦vt::act:: 扮演；装作，举动像					
acutely	ə'kjutli	əˈkju:tli	adv::敏锐地::	acutely aware::清醒地看到	We continue to conduct tests, but increasingly, we conduct long conversations with her, acutely aware that our creation will raise many ethical questions on the part of the public.::我们将继续进行测试，但越来越多地，随着长时间的交谈，我们敏锐地意识到，我们的作品将在公众当中引起许多道德问题。	adv::尖锐地；剧烈地::pointedly, pungently	adj::acute:: 严重的，[医] 急性的；敏锐的；激烈的；尖声的¦n::acuteness:: 剧烈；敏锐；锐利			...but nowhere more acutely than in the Amazon...::2013.6/CET6/阅读理解/第二套¦...Even for those most acutely affected...::2011.6/CET6/阅读理解/		
addict	'ædɪkt (for n.); əˈdɪkt (for v.)	'ædɪkt	v::上瘾，沉溺::	drug addict::吸毒者；滥用药物者	Meanwhile, Walt's meth-business partner, the addict Jesse, is still recovering from the drug-related death of his girlfriend Jane at the end of last season.::而沃特的制毒搭档——瘾君子杰西还未从女朋友之死的痛苦中恢复过来。 他的女朋友简在上一季结尾时死于毒品。		adj::addicted:: 沉溺于某种（尤其是不良的）嗜好的；入了迷的，上了瘾的¦adj::addictive:: 上瘾的¦n::addiction:: 上瘾，沉溺；癖嗜¦v::addicted:: 使…上瘾（addict的过去分词）		 ad(表加强) ＋ dict(说， 要求) → 不断要求 → 使成瘾	...Many scientists disagree about what the differences are between an alcohol addict and a social drinker...::2016.6/CET6/听力题/第三套¦...Another problem is that the victim often denies being an alcohol addict and won't get help...::2016.6/CET6/听力题/第三套¦...Any veteran nicotine addict will testify that fancy packaging plays no role in the decision to keep smoking...::2016.12/CET6/阅读理解/第一套		
address	ə'drɛs	ə'dres	v::解决::if you address a problem, you start trying to solve it	email address::电子邮箱信箱¦ip address::网络地址，IP地址¦address book::通讯簿；住址名册¦home address::家庭住址；标识地址；内部地址¦mailing address::邮寄地址¦network address::网络地址¦address space::地址空间¦address as::称呼¦e-mail address::电子邮件地址¦public address::公用地址；扩音装置¦address system::地址系统；称谓系统¦inaugural address::就职演说¦address translation::地址转换；位址翻译¦public address system::扩声系统；有线广播系统；公用地址系统¦correspondence address::通讯地址；通信地址¦specific address::专用地址¦full address::全地址¦physical address::物理地址；实际地址¦permanent address::永久地址；永久住址；原籍¦mail address::邮件地址；信件地址		vt::演说；从事；忙于；写姓名地址；向…致辞::undertake, pursue, have¦n::[计]地址；演讲；致辞；说话的技巧::speech, lecture, talk	adj::addressable:: （电脑）[计] 可寻址的¦n::addressee:: 收件人，收信人；[计] 被访地址¦n::addresser:: 发件人；发信人；发言人¦n::addressograph:: 邮件地址印刷机；印名片机			...We need very broad participation to fully address global tragedy that results when countries fail to take into account the negative impact of their carbon emissions on the rest of the world...::2017.6/CET6/阅读理解/第二套¦...Failure to address comprehensively the problem of greenhouse gas emissions...::2017.6/CET6/阅读理解/第二套¦...Yellen is likely to address the issue right after she pushes unemployment below 6%...::2015.6/CET6/阅读理解/第一套¦...I've been following some of the promising ideas emerging to address and prevent family homelessness...::2014.6/CET6/阅读理解/第三套¦...A number of readers asked whether the campaign will address family homelessness...::2014.6/CET6/阅读理解/第三套¦...and we do need to address it...::2013.6/CET6/阅读理解/第三套¦...To address the problem requires fresh thinking from governments about how people train for their working lives and what a living wage should be...::2012.12/CET6/阅读理解/第三套¦...has not helped to address fundamental weaknesses in business leadership...::2011.6/CET6/阅读理解/¦...participants were less ready to support policies designed to address racial inequality than they had been two weeks before the election...::2010.6/CET6/阅读理解/¦...Those trying to address issues of racial inequality need to constantly remind people of the inequalities that still exist to counteract the Obama's effect...::2010.6/CET6/阅读理解/¦...Plenty of us create a “to-do” list to address feelings of being overwhelmed...::2008.12/CET6/听力题/		
administration	əd,mɪnɪ'streʃən	ədˌmɪnɪˈstreɪʃn	n::管理，政府::the activities that are involved in managing the work of a company or organization	administration of::◎(法律、惩罚等的)施行，执行，实行，实施；(药的)服用；用法；给与；(庄严的誓言或诺言的)提出，宣誓¦business administration::企业管理；经营管理¦public administration::公共行政；公共管理；行政管理¦general administration::总管理处¦food and drug administration::食品和药物管理局¦administration department::行政部¦educational administration::教育管理；教育行政管理¦civil administration::n. 民政¦tax administration::税务管理¦administration of justice::司法；司法行政；执法¦school administration::学校行政；学院管理¦oral administration::[医]口服¦state environmental protection administration::国家环境保护总局¦personnel administration::干部（人事）管理¦administration office::行政办公室；秘书室¦administration fee::管理费；手续费¦financial administration::财务管理¦administration structure::行政机构¦foreign exchange administration::外汇管理局¦administration building::行政办公楼	We’re looking for someone with experience in administration.::我们正在寻找一个有管理经验的人。¦The health service spends too much on administration.::医疗服务部门在行政方面花费太多。	n::[管理]管理；行政；实施；行政机构::governance, management, supervision, regulation, enforcement	adj::administrative:: 管理的，行政的¦adj::administrable:: 可管理的；可处理的¦n::administrator:: 管理人；行政官¦vi::administer:: 给予帮助；执行遗产管理人的职责；担当管理人¦vt::administer:: 管理；执行；给予¦vt::administrate:: 管理；经营，实施		 ad(做) ＋ ministr(看作minister， 部长) ＋ ation(表状态、 动作) → 部长负责管理和执行工作 → 管理	...Morgan notified the Haslam administration of his decision to opt out in a letter sent last week...::2017.6/CET6/阅读理解/第一套¦...Baily says it would make a strong case for a second stimulus—something the Obama administration hopes will not be necessary...::2016.6/CET6/听力题/第一套¦...Didn’t I see you going into the administration building this afternoon...::2014.6/CET6/听力题/第一套¦...A stated goal of the Obama administration is to restore a big chunk of this employment...::2013.6/CET6/阅读理解/第一套¦...Ask the administration or the Republicans or most academics why America needs more manufacturing...::2013.6/CET6/阅读理解/第一套¦...The Obama administration does worry publicly about manufacturing...::2013.6/CET6/阅读理解/第一套¦...The head technician in the lab tried to persuade the hospital administration to replace it...::2012.12/CET6/听力题/第二套¦...the administration is defining poverty up...::2012.12/CET6/阅读理解/第二套¦...Because the administration is more likely to replace me than an X-ray equipment...::2012.12/CET6/听力题/第二套¦...Barack Obama assembled a racially and ideologically diverse coalition with his message of hope and change; as the reality of life under a new administration settles in...::2010.6/CET6/阅读理解/		
adopt	ə'dɑpt	ə'dɒpt	v::采纳::to start to deal with or think about something in a particular way	adopt various methods::采取不同办法	The courts were asked to adopt a more flexible approach to young offenders.::法庭被要求对少年犯采取更为灵活的处理方法。¦The store recently adopted a drug testing policy for all new employees.::这家商店近来实行新雇员一律要做药检的政策。¦California has adopted a tough stance on the issue.::加利福尼亚州对这一问题持强硬立场。	vt::采取；接受；收养；正式通过::assume, take in sth	adj::adopted:: 被收养的；被采用的¦adj::adoptive:: 采用的；有收养关系的¦adj::adoptable:: 可采用的；可收养的¦n::adoption:: 采用；收养；接受¦n::adopter:: 养父母；[化工] 接受管¦n::adoptee:: 被收养者；被立嗣者¦v::adopted:: 采用；接受（adopt的过去式和过去分词）		 ad ＋ opt(选择) → 被选择 → 采用	...many mid-sized cities have begun to adopt a middle-of-the-road approach incorporating the excitement and opportunity of large cities with small cities' quiet after midnight...::2017.12/CET6/阅读理解/第一套¦...The Senate bill would create an independent commission to monitor the pilot programs and recommend changes in Medicare's payment policies to urge providers to adopt reforms that work...::2016.6/CET6/阅读理解/第二套¦...I think that by having people adopt a healthy lifestyle...::2016.6/CET6/听力题/第一套¦...hardworking and creative Chinese farmers had begun to adopt various ways to increase crop yields...::2016.12/CET6/文本题/第三套¦...The Conservatives plan to adopt this strategy by making utility companies print the average local electricity and gas usage on people's bills...::2015.12/CET6/阅读理解/第三套¦...California could adopt not just Texas's leaner state...::2014.6/CET6/阅读理解/第二套¦...Campuses willing to adopt convenient schedules along with more focused...::2012.6/CET6/阅读理解/¦...But Dillia was careful not to adopt the defensive tone...::2012.12/CET6/听力题/第二套¦...I am not talking about requiring people to learn English or to adopt American ways; those things happen pretty much on their own...::2008.12/CET6/阅读理解/		
adventure	əd'vɛntʃɚ	əd'ventʃə(r)	n::冒险::an exciting experience in which dangerous or unusual things happen	adventure film::惊险片	a great adventure::一大奇遇¦Ahab’s adventures at sea::亚哈的海上历险¦an adventure story::一个历险故事	n::冒险；冒险精神；投机活动::risk, throw, venture¦vt::冒险；大胆说出::take a chance, run a risk¦vi::冒险::take a risk, run a risk, stick one's neck out, take chances	adj::adventurous:: 爱冒险的；大胆的；充满危险的¦adj::adventuresome:: 冒险性的；爱冒险的¦adj::adventuristic:: 冒险主义的；冒险主义者的¦n::adventurer:: 冒险家；投机商人¦n::adventurism:: 冒险主义¦n::adventuress:: 女冒险家；女投机者¦n::adventurousness:: 喜欢冒险；敢作敢为			...which is planning to introduce a new program of longer adventure trips...::2011.6/CET6/听力题/		
adventurer	əd'vɛntʃərɚ	ədˈventʃərə(r)	n::冒险者::someone who enjoys adventure		an adventurer travelling the world::周游世界的冒险家	n::冒险家；投机商人::sportsman, gambler	adj::adventurous:: 爱冒险的；大胆的；充满危险的¦adj::adventuresome:: 冒险性的；爱冒险的¦adj::adventuristic:: 冒险主义的；冒险主义者的¦n::adventure:: 冒险；冒险精神；投机活动¦n::adventurism:: 冒险主义¦n::adventuress:: 女冒险家；女投机者¦n::adventurousness:: 喜欢冒险；敢作敢为¦vi::adventure:: 冒险¦vt::adventure:: 冒险；大胆说出					
adverse	ædˈvɚs, ˈædˌvɚs	ˈædvɜ:s	adj::相反的，敌对的::not good or favourable	adverse effect::不利影响；副作用¦adverse selection::逆选择；相反的选择¦adverse reaction::不良反应；逆反应；有害反应¦adverse impact::负面影响¦adverse weather::恶劣天气；不利天气¦adverse factor::有害因素；有害因子¦adverse current::逆流¦adverse condition::不利条件；有害状态¦adverse balance::贸易逆差¦adverse balance of trade::逆差；贸易逆差¦adverse pressure::反压力；反压¦adverse criticism::反向批评；逆向评论	They fear it could have an adverse effect on global financial markets.::他们担心这会对全球金融市场产生不利影响。¦Miller’s campaign has received a good deal of adverse publicity .::米勒的竞选活动招来许多负面报道。	adj::不利的；相反的；[植]敌对的（名词adverseness，副词adversely）::against, contrary, opposite, counter, cross	adj::adversative:: 反意的；表示相反的¦adv::adversely:: 不利地；逆地；反对地¦n::adversative:: 反意语；转折词		 ad(坏) ＋ vers(转) ＋ e → 往坏的方向转 → 不利的			
adversely	æd'vɝsli	əd'vɜ:slɪ	adv::不利地::		I think everyone has something from their past that they're worried might adversely affect how they raise their children.::我想每个人都会担心自己过去的某些事可能会对他们如何培养孩子产生不利的影响。¦As my national security advisor, he had to deal with the British on many other issues that could be adversely affected by the visa.::作为我的国家安全顾问，托尼需要在许多其它问题上与英国人打交道，签证问题可能会对这些问题产生不利的影响。	adv::不利地；逆地；反对地::ill, disadvantageously	adj::adverse:: 不利的；相反的；敌对的（名词adverseness，副词adversely）			...A further expansion of farming area will adversely impact on the world's natural ecosystems...::2013.12/CET6/阅读理解/第三套		
affection	ə'fɛkʃən	əˈfekʃn	n::喜爱::a feeling of liking or love and caring		She looked back on those days with affection .::她深情地回顾那些日子。¦Their father never showed them much affection .::他们的父亲对他们从来没有表现出多少慈爱。¦The church was held in great affection (=  loved and cared about a lot  ) by the local residents.::教会深受当地民众爱戴。	n::喜爱，[心理]感情；影响；感染::infection, impression, favor, effect, influence	adj::affected:: 受到影响的；做作的；假装的¦adj::affective:: 情感的；表达感情的¦adj::affecting:: 动人的；感人的¦adj::affectional:: 情感上的；爱情的¦adv::affectingly:: 令人感动地；令人伤心地¦n::affect:: 情感；引起感情的因素¦v::affecting:: 影响（affect的ing形式）；感动¦vi::affect:: 倾向；喜欢¦vt::affect:: 影响；感染；感动；假装¦vt::affected:: 影响；假装；使…感动（affect的过去式和过去分词）			...They think of their parents with affection and respect...::2016.6/CET6/阅读理解/第一套¦...can be attributed to the Taoist affection to nature...::2014.12/CET6/文本题/第三套		
agenda	ə'dʒɛndə	ə'dʒendə	n::议程::a list of problems or subjects that a government, organization etc is planning to deal with	item on the agenda::议程项目¦hidden agenda::隐秘的议程；幕后的动机¦agenda setting::议题设定；议程设定	The Republicans have stuck to their conservative agenda.::共和党人坚持自己的保守议题。				 ag(做) + enda(表名词) → 做的事情 → 议程			
aggravate	'æɡrəvet	'æɡrəveɪt	v::加重，加剧::to make a bad situation, an illness, or an injury worse		Their money problems were further aggravated by a rise in interest rates.::由于利率上调，他们的财务问题更加严重。¦Building the new road will only aggravate the situation .::建造那条新路只会使情况恶化。	vt::加重；使恶化；激怒::anger, complicate	adj::aggravated:: 加重的；恶化的¦adj::aggravating:: 加重的；令人恼怒的¦n::aggravation:: 加剧；激怒；更恶化¦v::aggravated:: 加重；恶化（aggravate的过去分词）；刺激¦v::aggravating:: 使恶化；激怒（aggravate的ing形式）		 ag(表加强) ＋ grav(重) ＋ ate(使…) → 使…重 → 加重， 使恶化			
