internship	'ɪntɝnʃɪp	ˈɪntɜ:nʃɪp	n::<美>实习医师::a job that lasts for a short time, that someone, especially a student, does in order to gain experience	internship programs::实习计划；实习课程	...an internship in surgery in New York.::…一个在纽约做外科实习的职位。	n::实习生；（美）实习期；实习医师职位::trainee, probationer	n::intern:: 实习生，实习医师¦n::interne:: 实习医师¦vi::intern:: 作实习医师¦vt::intern:: 拘留，软禁					
swell	swɛl	swel	vt&vi::增强； 肿胀； 膨胀::to become larger and rounder than normal – used especially about parts of the body	swell up::润胀，膨胀¦swell with::膨胀；充满	Her ankle was already starting to swell.::她的脚踝已经开始肿起来了。¦The window frame was swollen shut.::窗框膨胀变形，关得死死的。	vi::膨胀；肿胀；隆起::fill, intumesce¦vt::使膨胀；使隆起::expand, plim¦n::肿胀；隆起::tumefaction, tumidness¦adj::漂亮的；一流的::pretty, smart, tony, cute	adj::swelling:: 膨胀的；肿大的；突起的¦adj::swelled:: 骄傲自大；自负的¦n::swelling:: 肿胀；膨胀；增大；涨水¦v::swelling:: 肿胀；膨胀；增多；趾高气扬（swell的ing形式）¦v::swelled:: 膨胀；隆起；增大（swell的过去分词）					
hush	hʌʃ	hʌʃ	vt&vi::（使）安静下来::to make someone stop shouting, talking, crying etc¦n::安静，寂静::a period of silence, especially when people are expecting something to happen	hush money::堵嘴钱；封口钱¦hush puppies::（美）油炸玉米饼¦hush up::肃静；掩盖，防止…张扬出去	Ella asked them to hush their voices.::埃拉叫他们别作声。	vt::安静；肃静；缄默::keep silent¦n::安静；肃静；沉默::silence, tranquilness¦vi::沉默；安静下来::pipe down, fall silent¦int::嘘；别作声::sh, hist	adj::hushed:: 寂静的；安静的¦v::hushed:: 安静；缄默；肃静（hush的过去分词）					
obligingly		ə'blaidʒiŋli	adv::亲切地::		We had just come home from a good tromp in the bush and he was just getting comfortable when, very obligingly, he posed for me.::我们刚从灌木丛中回家。 他变得惬意起来，还亲切地在我面前摆起了姿势。¦Fresh from her interviews with Japanese media, she obligingly retold the story, for what must be the thousandth time, of how she built her brand like it’s a fresh tale for her.::虽然刚刚结束日本媒体的采访，羽西又亲切地给我讲述了一遍她创立品牌的故事。 这个故事她肯定向他人讲述了一千多遍，但她仍然像第一次讲述那样激动。	adv::亲切地::warmly, kindly, lovingly	adj::obliging:: 乐于助人的；有礼貌的；体贴的；亲切的¦v::obliging:: 迫使；约束（oblige的现在分词）					
erroneous	ɪ'ronɪəs	ɪˈrəʊniəs	adj::错误的::erroneous ideas or information are wrong and based on facts that are not correct		His economic predictions are based on some erroneous assumptions.::他的经济预测是基于错误假设之上的。	adj::错误的；不正确的::false, wrong, improper, incorrect, inaccurate	adv::erroneously:: 错误地；不正确¦n::erroneousness:: 不正确）；错误（有误差					
understudy	'ʌndə,stʌdi	ˈʌndəstʌdi	n::预备演员，替角::an actor who learns a part in a play so that they can act the part if the usual actor is ill		He was an understudy to Charlie Chaplin on a tour of the U.S.::他曾是查理•卓别林美国巡演的替角。							
chauffeur	ʃo'fɝ	ˈʃəʊfə(r)	n::受雇于人的汽车司机::someone whose job is to drive a car for someone else		In the service of the empress, this inept chauffeur faced no legal sanction for the mishap.::由于服侍太后，这位无能的司机在这场车祸中没有受到任何法律的制裁。	n::司机::motorman, steerer						
peculiar	pɪ'kjulɪɚ	pɪˈkju:liə(r)	adj::奇怪的，古怪的； 异常的::strange, unfamiliar, or a little surprising	peculiar institution::n. 旧时美国南部的黑奴制度	There was a peculiar smell in the kitchen.::厨房里有一股怪味。¦Something peculiar is going on.::出了怪事。¦It seems very peculiar that no one noticed Kay had gone.::没有人注意到凯已经走了，这好像很奇怪。	adj::特殊的；独特的；奇怪的；罕见的::specific, distinct, unique, strange, individual¦n::特权；特有财产::franchise, special privilege	adv::peculiarly:: 特别；尤其；古怪地；奇怪地¦n::peculiarity:: 特性；特质；怪癖；奇特					
flannel	'flænl	ˈflænl	n::法兰绒，绒布::soft cloth, usually made of cotton or wool, used for making clothes	flannel shirt::法兰绒衬衫；法兰绒上衣	a flannel shirt::法兰绒衬衫	n::[纺]法兰绒；法兰绒衣服；法兰绒巾::caroset						
earnest		ˈɜ:nɪst	adj::热心的； 诚挚的::very serious and sincere	in earnest::认真的；诚挚地；正经的¦in real earnest::adv. 认真地¦in sad earnest::[古语]十分严肃地，一本正经地	a rather earnest young man::相当认真的一个年轻人¦Matthews was in earnest conversation with a young girl.::马修斯在和一个年轻姑娘认真地谈话。¦an earnest desire to offer something useful to society::为社会做贡献的真诚愿望	adj::认真的，热心的；重要的::crucial, important, serious, considerable, material¦n::认真；[贸易]定金；诚挚::sincerity, staidness	adv::earnestly:: 认真地；诚挚地¦n::earnestness:: 认真；诚挚；正经					
agonizingly		'ægənaiziŋli	adv::使人烦恼地；苦闷地::				adj::agonizing:: 苦恼的；痛苦难忍的¦adj::agonized:: 感到极度痛苦的，苦闷的¦adj::agonising:: 烦恼的；苦闷的¦v::agonized:: 使极度痛苦（agonize的过去分词）¦vi::agonize:: 感到极度痛苦；挣扎¦vi::agonizing:: 感到极度痛苦（agonize的ing形式）¦vi::agonise:: 感到苦闷；挣扎¦vt::agonize:: 使极度痛苦；折磨¦vt::agonizing:: 使极度痛苦；折磨（agonize的ing形式）¦vt::agonise:: 挣扎；烦恼					
